C1;H1;L1;C1;V1;O2;H2;L2;C2;V2;O3;H3;L3;C3;V3;O4;H4;L4;C4;V4;Final
6700;6940.51;6646.5;6908.64;37747.07875;6907.26;7135;6860;7076.11;48352.91716;7077;7133.81;6912.34;7031.22;43252.48739;7033.21;7063.63;6784.81;6984.84;44716.77462;TRUE
6907.26;7135;6860;7076.11;48352.91716;7077;7133.81;6912.34;7031.22;43252.48739;7033.21;7063.63;6784.81;6984.84;44716.77462;6984.84;7089;6888;7011.21;40467.40064;TRUE
7077;7133.81;6912.34;7031.22;43252.48739;7033.21;7063.63;6784.81;6984.84;44716.77462;6984.84;7089;6888;7011.21;40467.40064;7011.21;7275;7008.74;7200.01;40323.41409;TRUE
7033.21;7063.63;6784.81;6984.84;44716.77462;6984.84;7089;6888;7011.21;40467.40064;7011.21;7275;7008.74;7200.01;40323.41409;7201.57;7345.45;7127;7302.01;39814.84035;FALSE
6984.84;7089;6888;7011.21;40467.40064;7011.21;7275;7008.74;7200.01;40323.41409;7201.57;7345.45;7127;7302.01;39814.84035;7302;7338.28;7191.63;7263.02;32396.01837;TRUE
7011.21;7275;7008.74;7200.01;40323.41409;7201.57;7345.45;7127;7302.01;39814.84035;7302;7338.28;7191.63;7263.02;32396.01837;7263;7410;7227.17;7359.06;35300.64052;FALSE
7201.57;7345.45;7127;7302.01;39814.84035;7302;7338.28;7191.63;7263.02;32396.01837;7263;7410;7227.17;7359.06;35300.64052;7359.05;7397.3;6682;6700;63715.25627;FALSE
7302;7338.28;7191.63;7263.02;32396.01837;7263;7410;7227.17;7359.06;35300.64052;7359.05;7397.3;6682;6700;63715.25627;6697.27;6725;6265;6516.01;60644.46423;FALSE
7263;7410;7227.17;7359.06;35300.64052;7359.05;7397.3;6682;6700;63715.25627;6697.27;6725;6265;6516.01;60644.46423;6516.84;6544;6320;6395.54;38906.28805;FALSE
7359.05;7397.3;6682;6700;63715.25627;6697.27;6725;6265;6516.01;60644.46423;6516.84;6544;6320;6395.54;38906.28805;6395.54;6478;6111;6185.05;38215.03217;TRUE
6697.27;6725;6265;6516.01;60644.46423;6516.84;6544;6320;6395.54;38906.28805;6395.54;6478;6111;6185.05;38215.03217;6185.06;6441;6141.53;6250.81;37053.92382;TRUE
6516.84;6544;6320;6395.54;38906.28805;6395.54;6478;6111;6185.05;38215.03217;6185.06;6441;6141.53;6250.81;37053.92382;6252.26;6373.98;6221;6312;32439.45643;FALSE
6395.54;6478;6111;6185.05;38215.03217;6185.06;6441;6141.53;6250.81;37053.92382;6252.26;6373.98;6221;6312;32439.45643;6311.99;6404;6169.68;6294.91;33104.88859;TRUE
6185.06;6441;6141.53;6250.81;37053.92382;6252.26;6373.98;6221;6312;32439.45643;6311.99;6404;6169.68;6294.91;33104.88859;6293;6360;6192.37;6338.62;31433.64594;TRUE
6252.26;6373.98;6221;6312;32439.45643;6311.99;6404;6169.68;6294.91;33104.88859;6293;6360;6192.37;6338.62;31433.64594;6338.62;6535;6337.4;6487.38;40465.06311;FALSE
6311.99;6404;6169.68;6294.91;33104.88859;6293;6360;6192.37;6338.62;31433.64594;6338.62;6535;6337.4;6487.38;40465.06311;6487.39;6584.99;6385.62;6476.63;37173.33928;TRUE
6293;6360;6192.37;6338.62;31433.64594;6338.62;6535;6337.4;6487.38;40465.06311;6487.39;6584.99;6385.62;6476.63;37173.33928;6476.63;6565.45;6466.13;6514.96;25243.65661;FALSE
6338.62;6535;6337.4;6487.38;40465.06311;6487.39;6584.99;6385.62;6476.63;37173.33928;6476.63;6565.45;6466.13;6514.96;25243.65661;6514.96;6524.62;6370;6505;27568.1329;FALSE
6487.39;6584.99;6385.62;6476.63;37173.33928;6476.63;6565.45;6466.13;6514.96;25243.65661;6514.96;6524.62;6370;6505;27568.1329;6500.08;6533.84;6201;6248.69;35987.25474;TRUE
6476.63;6565.45;6466.13;6514.96;25243.65661;6514.96;6524.62;6370;6505;27568.1329;6500.08;6533.84;6201;6248.69;35987.25474;6248.69;6390;6224.98;6336.45;32620.86667;TRUE
6514.96;6524.62;6370;6505;27568.1329;6500.08;6533.84;6201;6248.69;35987.25474;6248.69;6390;6224.98;6336.45;32620.86667;6336.39;6517.7;6123;6391.89;39044.08008;TRUE
6500.08;6533.84;6201;6248.69;35987.25474;6248.69;6390;6224.98;6336.45;32620.86667;6336.39;6517.7;6123;6391.89;39044.08008;6392;6540;6325;6492;25189.02473;TRUE
6248.69;6390;6224.98;6336.45;32620.86667;6336.39;6517.7;6123;6391.89;39044.08008;6392;6540;6325;6492;25189.02473;6492;6784.86;6491;6759.02;51779.34346;FALSE
6336.39;6517.7;6123;6391.89;39044.08008;6392;6540;6325;6492;25189.02473;6492;6784.86;6491;6759.02;51779.34346;6759.01;6839.03;6627;6723.05;29349.69067;FALSE
6392;6540;6325;6492;25189.02473;6492;6784.86;6491;6759.02;51779.34346;6759.01;6839.03;6627;6723.05;29349.69067;6723.05;6788.23;6661.75;6708;30286.22977;FALSE
6492;6784.86;6491;6759.02;51779.34346;6759.01;6839.03;6627;6723.05;29349.69067;6723.05;6788.23;6661.75;6708;30286.22977;6706.81;6730;6557;6581.39;35305.73991;FALSE
6759.01;6839.03;6627;6723.05;29349.69067;6723.05;6788.23;6661.75;6708;30286.22977;6706.81;6730;6557;6581.39;35305.73991;6581.42;6584.01;6325.02;6447.54;40301.02945;TRUE
6723.05;6788.23;6661.75;6708;30286.22977;6706.81;6730;6557;6581.39;35305.73991;6581.42;6584.01;6325.02;6447.54;40301.02945;6445.11;6557.99;6379.7;6465.12;33484.54207;TRUE
6706.81;6730;6557;6581.39;35305.73991;6581.42;6584.01;6325.02;6447.54;40301.02945;6445.11;6557.99;6379.7;6465.12;33484.54207;6467.84;6750;6434;6689.13;33087.4283;FALSE
6581.42;6584.01;6325.02;6447.54;40301.02945;6445.11;6557.99;6379.7;6465.12;33484.54207;6467.84;6750;6434;6689.13;33087.4283;6689.12;6814.8;6540.88;6634.58;42399.44852;FALSE
6445.11;6557.99;6379.7;6465.12;33484.54207;6467.84;6750;6434;6689.13;33087.4283;6689.12;6814.8;6540.88;6634.58;42399.44852;6634.58;6636;6464.57;6596.38;30255.9597;TRUE
6467.84;6750;6434;6689.13;33087.4283;6689.12;6814.8;6540.88;6634.58;42399.44852;6634.58;6636;6464.57;6596.38;30255.9597;6597.66;6662;6533;6626.57;27764.72452;FALSE
6689.12;6814.8;6540.88;6634.58;42399.44852;6634.58;6636;6464.57;6596.38;30255.9597;6597.66;6662;6533;6626.57;27764.72452;6626.57;6667.09;6510;6611.61;20621.50689;FALSE
6634.58;6636;6464.57;6596.38;30255.9597;6597.66;6662;6533;6626.57;27764.72452;6626.57;6667.09;6510;6611.61;20621.50689;6610;6640;6494;6525.79;28245.81009;FALSE
6597.66;6662;6533;6626.57;27764.72452;6626.57;6667.09;6510;6611.61;20621.50689;6610;6640;6494;6525.79;28245.81009;6525.79;6549;6430;6510;28451.96914;TRUE
6626.57;6667.09;6510;6611.61;20621.50689;6610;6640;6494;6525.79;28245.81009;6525.79;6549;6430;6510;28451.96914;6510.01;6643.46;6505.09;6593.79;20074.30082;TRUE
6610;6640;6494;6525.79;28245.81009;6525.79;6549;6430;6510;28451.96914;6510.01;6643.46;6505.09;6593.79;20074.30082;6591.69;6697;6543.08;6635.65;16096.55239;FALSE
6525.79;6549;6430;6510;28451.96914;6510.01;6643.46;6505.09;6593.79;20074.30082;6591.69;6697;6543.08;6635.65;16096.55239;6635.65;6651;6566.77;6594.27;10939.50539;TRUE
6510.01;6643.46;6505.09;6593.79;20074.30082;6591.69;6697;6543.08;6635.65;16096.55239;6635.65;6651;6566.77;6594.27;10939.50539;6596.44;6640;6525;6615.26;17406.83176;TRUE
6591.69;6697;6543.08;6635.65;16096.55239;6635.65;6651;6566.77;6594.27;10939.50539;6596.44;6640;6525;6615.26;17406.83176;6615.26;6715.6;6587;6673.01;23123.41954;FALSE
6635.65;6651;6566.77;6594.27;10939.50539;6596.44;6640;6525;6615.26;17406.83176;6615.26;6715.6;6587;6673.01;23123.41954;6673.01;6685.38;6607;6656.61;15354.77947;FALSE
6596.44;6640;6525;6615.26;17406.83176;6615.26;6715.6;6587;6673.01;23123.41954;6673.01;6685.38;6607;6656.61;15354.77947;6656.67;6659.95;6530;6631;15390.66144;FALSE
6615.26;6715.6;6587;6673.01;23123.41954;6673.01;6685.38;6607;6656.61;15354.77947;6656.67;6659.95;6530;6631;15390.66144;6630.21;6633.92;6205;6252.68;48712.40033;TRUE
6673.01;6685.38;6607;6656.61;15354.77947;6656.67;6659.95;6530;6631;15390.66144;6630.21;6633.92;6205;6252.68;48712.40033;6252.71;6360;6209;6298.01;29004.07142;TRUE
6656.67;6659.95;6530;6631;15390.66144;6630.21;6633.92;6205;6252.68;48712.40033;6252.71;6360;6209;6298.01;29004.07142;6298;6345;6285.07;6332.93;19098.07003;TRUE
6630.21;6633.92;6205;6252.68;48712.40033;6252.71;6360;6209;6298.01;29004.07142;6298;6345;6285.07;6332.93;19098.07003;6332.92;6416;6308;6339.34;15627.41131;TRUE
6252.71;6360;6209;6298.01;29004.07142;6298;6345;6285.07;6332.93;19098.07003;6332.92;6416;6308;6339.34;15627.41131;6339.34;7680;6300;6752.5;90748.03125;TRUE
6298;6345;6285.07;6332.93;19098.07003;6332.92;6416;6308;6339.34;15627.41131;6339.34;7680;6300;6752.5;90748.03125;6752.5;6900;6670;6759.27;27557.95776;FALSE
6332.92;6416;6308;6339.34;15627.41131;6339.34;7680;6300;6752.5;90748.03125;6752.5;6900;6670;6759.27;27557.95776;6762.76;6811.12;6676.01;6740.89;26641.43138;FALSE
6339.34;7680;6300;6752.5;90748.03125;6752.5;6900;6670;6759.27;27557.95776;6762.76;6811.12;6676.01;6740.89;26641.43138;6739.01;6796;6567;6618.96;20116.52194;FALSE
6752.5;6900;6670;6759.27;27557.95776;6762.76;6811.12;6676.01;6740.89;26641.43138;6739.01;6796;6567;6618.96;20116.52194;6618.96;6648.14;6523;6528.88;20772.60077;TRUE
6762.76;6811.12;6676.01;6740.89;26641.43138;6739.01;6796;6567;6618.96;20116.52194;6618.96;6648.14;6523;6528.88;20772.60077;6528.88;6617.65;6505.55;6588.4;19240.72225;TRUE
6739.01;6796;6567;6618.96;20116.52194;6618.96;6648.14;6523;6528.88;20772.60077;6528.88;6617.65;6505.55;6588.4;19240.72225;6585.72;6663.9;6580;6590.11;6515.357792;FALSE
6618.96;6648.14;6523;6528.88;20772.60077;6528.88;6617.65;6505.55;6588.4;19240.72225;6585.72;6663.9;6580;6590.11;6515.357792;6590.12;6639;6535.27;6581.2;16213.69266;FALSE
6528.88;6617.65;6505.55;6588.4;19240.72225;6585.72;6663.9;6580;6590.11;6515.357792;6590.12;6639;6535.27;6581.2;16213.69266;6581.2;6595;6515.45;6553.51;13856.60176;TRUE
6585.72;6663.9;6580;6590.11;6515.357792;6590.12;6639;6535.27;6581.2;16213.69266;6581.2;6595;6515.45;6553.51;13856.60176;6553.51;6630;6547.53;6565.5;11951.54398;FALSE
6590.12;6639;6535.27;6581.2;16213.69266;6581.2;6595;6515.45;6553.51;13856.60176;6553.51;6630;6547.53;6565.5;11951.54398;6566.81;6575.09;6502.8;6528.09;10342.70124;TRUE
6581.2;6595;6515.45;6553.51;13856.60176;6553.51;6630;6547.53;6565.5;11951.54398;6566.81;6575.09;6502.8;6528.09;10342.70124;6528.13;6600;6515.01;6538.63;9443.504156;FALSE
6553.51;6630;6547.53;6565.5;11951.54398;6566.81;6575.09;6502.8;6528.09;10342.70124;6528.13;6600;6515.01;6538.63;9443.504156;6538.63;6558.35;6463.04;6505.6;7776.907864;FALSE
6566.81;6575.09;6502.8;6528.09;10342.70124;6528.13;6600;6515.01;6538.63;9443.504156;6538.63;6558.35;6463.04;6505.6;7776.907864;6505.6;6514.17;6453;6489.93;5743.933728;FALSE
6528.13;6600;6515.01;6538.63;9443.504156;6538.63;6558.35;6463.04;6505.6;7776.907864;6505.6;6514.17;6453;6489.93;5743.933728;6489.93;6505.01;6315;6344.5;13827.22407;FALSE
6538.63;6558.35;6463.04;6505.6;7776.907864;6505.6;6514.17;6453;6489.93;5743.933728;6489.93;6505.01;6315;6344.5;13827.22407;6344.5;6395;6317.01;6330.87;8877.175385;TRUE
6505.6;6514.17;6453;6489.93;5743.933728;6489.93;6505.01;6315;6344.5;13827.22407;6344.5;6395;6317.01;6330.87;8877.175385;6330.01;6428;6245.02;6371.93;12148.88822;TRUE
6489.93;6505.01;6315;6344.5;13827.22407;6344.5;6395;6317.01;6330.87;8877.175385;6330.01;6428;6245.02;6371.93;12148.88822;6369.52;6442.65;6348.66;6410;9099.035841;TRUE
6344.5;6395;6317.01;6330.87;8877.175385;6330.01;6428;6245.02;6371.93;12148.88822;6369.52;6442.65;6348.66;6410;9099.035841;6410;6460.34;6388.2;6433.98;9739.440679;FALSE
6330.01;6428;6245.02;6371.93;12148.88822;6369.52;6442.65;6348.66;6410;9099.035841;6410;6460.34;6388.2;6433.98;9739.440679;6432.8;6439.97;6345;6387.09;7661.241476;TRUE
6369.52;6442.65;6348.66;6410;9099.035841;6410;6460.34;6388.2;6433.98;9739.440679;6432.8;6439.97;6345;6387.09;7661.241476;6388;6525;6359;6485.85;10592.39494;FALSE
6410;6460.34;6388.2;6433.98;9739.440679;6432.8;6439.97;6345;6387.09;7661.241476;6388;6525;6359;6485.85;10592.39494;6485.85;6504.39;6431.02;6468.99;8987.882156;TRUE
6432.8;6439.97;6345;6387.09;7661.241476;6388;6525;6359;6485.85;10592.39494;6485.85;6504.39;6431.02;6468.99;8987.882156;6468.99;6531.31;6445.18;6519.11;11926.5657;TRUE
6388;6525;6359;6485.85;10592.39494;6485.85;6504.39;6431.02;6468.99;8987.882156;6468.99;6531.31;6445.18;6519.11;11926.5657;6522.73;6615.15;6509;6578.46;14271.59112;FALSE
6485.85;6504.39;6431.02;6468.99;8987.882156;6468.99;6531.31;6445.18;6519.11;11926.5657;6522.73;6615.15;6509;6578.46;14271.59112;6578.46;6594;6468.22;6479.84;13259.78928;FALSE
6468.99;6531.31;6445.18;6519.11;11926.5657;6522.73;6615.15;6509;6578.46;14271.59112;6578.46;6594;6468.22;6479.84;13259.78928;6479.84;6511.53;6391.01;6419.99;11787.61658;TRUE
6522.73;6615.15;6509;6578.46;14271.59112;6578.46;6594;6468.22;6479.84;13259.78928;6479.84;6511.53;6391.01;6419.99;11787.61658;6419.99;6475.55;6411;6433.05;7714.829926;TRUE
6578.46;6594;6468.22;6479.84;13259.78928;6479.84;6511.53;6391.01;6419.99;11787.61658;6419.99;6475.55;6411;6433.05;7714.829926;6435.16;6462.14;6355;6449.81;8213.507117;TRUE
6479.84;6511.53;6391.01;6419.99;11787.61658;6419.99;6475.55;6411;6433.05;7714.829926;6435.16;6462.14;6355;6449.81;8213.507117;6450.71;6497;6421;6453.07;10132.78257;TRUE
6419.99;6475.55;6411;6433.05;7714.829926;6435.16;6462.14;6355;6449.81;8213.507117;6450.71;6497;6421;6453.07;10132.78257;6451.68;6498;6391.15;6457.66;11790.56493;FALSE
6435.16;6462.14;6355;6449.81;8213.507117;6450.71;6497;6421;6453.07;10132.78257;6451.68;6498;6391.15;6457.66;11790.56493;6458.98;6482.84;5656.87;5922.41;46478.964;FALSE
6450.71;6497;6421;6453.07;10132.78257;6451.68;6498;6391.15;6457.66;11790.56493;6458.98;6482.84;5656.87;5922.41;46478.964;5917.2;5939.54;5403.42;5753.4;47700.8294;FALSE
6451.68;6498;6391.15;6457.66;11790.56493;6458.98;6482.84;5656.87;5922.41;46478.964;5917.2;5939.54;5403.42;5753.4;47700.8294;5757.09;5782.89;5549.25;5655.94;38721.80227;FALSE
6458.98;6482.84;5656.87;5922.41;46478.964;5917.2;5939.54;5403.42;5753.4;47700.8294;5757.09;5782.89;5549.25;5655.94;38721.80227;5650.57;5656.6;5565.43;5628.29;26411.24141;TRUE
5917.2;5939.54;5403.42;5753.4;47700.8294;5757.09;5782.89;5549.25;5655.94;38721.80227;5650.57;5656.6;5565.43;5628.29;26411.24141;5630.49;5738.17;5617;5662;23844.99935;FALSE
5757.09;5782.89;5549.25;5655.94;38721.80227;5650.57;5656.6;5565.43;5628.29;26411.24141;5630.49;5738.17;5617;5662;23844.99935;5661.94;5664;4855;4910.03;70580.89286;FALSE
5650.57;5656.6;5565.43;5628.29;26411.24141;5630.49;5738.17;5617;5662;23844.99935;5661.94;5664;4855;4910.03;70580.89286;4913.4;5048.24;4326;4558.86;117380.9516;TRUE
5630.49;5738.17;5617;5662;23844.99935;5661.94;5664;4855;4910.03;70580.89286;4913.4;5048.24;4326;4558.86;117380.9516;4559.91;4787.2;4413.85;4661.07;61071.82948;FALSE
5661.94;5664;4855;4910.03;70580.89286;4913.4;5048.24;4326;4558.86;117380.9516;4559.91;4787.2;4413.85;4661.07;61071.82948;4661.08;4721.77;4335;4370;34531.11914;TRUE
4913.4;5048.24;4326;4558.86;117380.9516;4559.91;4787.2;4413.85;4661.07;61071.82948;4661.08;4721.77;4335;4370;34531.11914;4370.9;4484;4222.94;4420.61;49371.92032;FALSE
4559.91;4787.2;4413.85;4661.07;61071.82948;4661.08;4721.77;4335;4370;34531.11914;4370.9;4484;4222.94;4420.61;49371.92032;4415.63;4527;3824.69;3932.44;61693.11101;TRUE
4661.08;4721.77;4335;4370;34531.11914;4370.9;4484;4222.94;4420.61;49371.92032;4415.63;4527;3824.69;3932.44;61693.11101;3933.68;4233;3652.66;4085.78;101693.9756;FALSE
4370.9;4484;4222.94;4420.61;49371.92032;4415.63;4527;3824.69;3932.44;61693.11101;3933.68;4233;3652.66;4085.78;101693.9756;4088.69;4206;3701;3862.2;94503.75077;TRUE
4415.63;4527;3824.69;3932.44;61693.11101;3933.68;4233;3652.66;4085.78;101693.9756;4088.69;4206;3701;3862.2;94503.75077;3864.45;3940;3689.12;3875.21;67480.60721;TRUE
3933.68;4233;3652.66;4085.78;101693.9756;4088.69;4206;3701;3862.2;94503.75077;3864.45;3940;3689.12;3875.21;67480.60721;3875.63;4394.47;3874.27;4264.85;91983.56795;TRUE
4088.69;4206;3701;3862.2;94503.75077;3864.45;3940;3689.12;3875.21;67480.60721;3875.63;4394.47;3874.27;4264.85;91983.56795;4262.06;4450.38;4125.65;4295.84;73980.19867;FALSE
3864.45;3940;3689.12;3875.21;67480.60721;3875.63;4394.47;3874.27;4264.85;91983.56795;4262.06;4450.38;4125.65;4295.84;73980.19867;4295.72;4341.36;3943;4041.32;67758.44628;TRUE
3875.63;4394.47;3874.27;4264.85;91983.56795;4262.06;4450.38;4125.65;4295.84;73980.19867;4295.72;4341.36;3943;4041.32;67758.44628;4041.27;4299.99;3963.01;4190.02;44840.07348;FALSE
4262.06;4450.38;4125.65;4295.84;73980.19867;4295.72;4341.36;3943;4041.32;67758.44628;4041.27;4299.99;3963.01;4190.02;44840.07348;4190.98;4312.99;4103.04;4161.01;38912.15479;FALSE
4295.72;4341.36;3943;4041.32;67758.44628;4041.27;4299.99;3963.01;4190.02;44840.07348;4190.98;4312.99;4103.04;4161.01;38912.15479;4160.55;4179;3827;3884.01;49094.36916;TRUE
4041.27;4299.99;3963.01;4190.02;44840.07348;4190.98;4312.99;4103.04;4161.01;38912.15479;4160.55;4179;3827;3884.01;49094.36916;3884.76;4085;3781;3951.64;48489.55161;FALSE
4190.98;4312.99;4103.04;4161.01;38912.15479;4160.55;4179;3827;3884.01;49094.36916;3884.76;4085;3781;3951.64;48489.55161;3950.98;3970;3745;3769.84;44004.79945;FALSE
4160.55;4179;3827;3884.01;49094.36916;3884.76;4085;3781;3951.64;48489.55161;3950.98;3970;3745;3769.84;44004.79945;3768.44;3899.99;3500;3508.75;68378.79694;FALSE
3884.76;4085;3781;3951.64;48489.55161;3950.98;3970;3745;3769.84;44004.79945;3768.44;3899.99;3500;3508.75;68378.79694;3508.75;3549.99;3224.6;3403.55;95145.45744;TRUE
3950.98;3970;3745;3769.84;44004.79945;3768.44;3899.99;3500;3508.75;68378.79694;3508.75;3549.99;3224.6;3403.55;95145.45744;3403.57;3495;3222;3410.93;55365.94995;TRUE
3768.44;3899.99;3500;3508.75;68378.79694;3508.75;3549.99;3224.6;3403.55;95145.45744;3403.57;3495;3222;3410.93;55365.94995;3411.36;3658;3394.04;3545.37;45956.8933;FALSE
3508.75;3549.99;3224.6;3403.55;95145.45744;3403.57;3495;3222;3410.93;55365.94995;3411.36;3658;3394.04;3545.37;45956.8933;3548.49;3610;3370.11;3432.88;40989.24455;FALSE
3403.57;3495;3222;3410.93;55365.94995;3411.36;3658;3394.04;3545.37;45956.8933;3548.49;3610;3370.11;3432.88;40989.24455;3434.01;3480;3324.32;3380.39;35920.86415;TRUE
3411.36;3658;3394.04;3545.37;45956.8933;3548.49;3610;3370.11;3432.88;40989.24455;3434.01;3480;3324.32;3380.39;35920.86415;3379.23;3492;3350;3445;33922.93129;FALSE
3548.49;3610;3370.11;3432.88;40989.24455;3434.01;3480;3324.32;3380.39;35920.86415;3379.23;3492;3350;3445;33922.93129;3446.38;3460;3255.5;3302.06;40040.91701;FALSE
3434.01;3480;3324.32;3380.39;35920.86415;3379.23;3492;3350;3445;33922.93129;3446.38;3460;3255.5;3302.06;40040.91701;3302.06;3335.39;3177;3224.17;44492.98381;FALSE
3379.23;3492;3350;3445;33922.93129;3446.38;3460;3255.5;3302.06;40040.91701;3302.06;3335.39;3177;3224.17;44492.98381;3225.19;3276.5;3156.26;3211.72;29796.04144;TRUE
3446.38;3460;3255.5;3302.06;40040.91701;3302.06;3335.39;3177;3224.17;44492.98381;3225.19;3276.5;3156.26;3211.72;29796.04144;3211.71;3294;3186;3228.67;24628.80854;TRUE
3302.06;3335.39;3177;3224.17;44492.98381;3225.19;3276.5;3156.26;3211.72;29796.04144;3211.71;3294;3186;3228.67;24628.80854;3229.22;3585;3216;3509.08;66761.7517;TRUE
3225.19;3276.5;3156.26;3211.72;29796.04144;3211.71;3294;3186;3228.67;24628.80854;3229.22;3585;3216;3509.08;66761.7517;3509.03;3678.59;3424.47;3652.98;61369.61526;TRUE
3211.71;3294;3186;3228.67;24628.80854;3229.22;3585;3216;3509.08;66761.7517;3509.03;3678.59;3424.47;3652.98;61369.61526;3653;3912.73;3622.55;3662.22;94137.34101;TRUE
3229.22;3585;3216;3509.08;66761.7517;3509.03;3678.59;3424.47;3652.98;61369.61526;3653;3912.73;3622.55;3662.22;94137.34101;3660.01;4120;3635;4049.62;101543.836;FALSE
3509.03;3678.59;3424.47;3652.98;61369.61526;3653;3912.73;3622.55;3662.22;94137.34101;3660.01;4120;3635;4049.62;101543.836;4051.86;4139.99;3764;3838.66;82343.85011;TRUE
3653;3912.73;3622.55;3662.22;94137.34101;3660.01;4120;3635;4049.62;101543.836;4051.86;4139.99;3764;3838.66;82343.85011;3840.25;3979;3785;3948.91;42822.35087;FALSE
3660.01;4120;3635;4049.62;101543.836;4051.86;4139.99;3764;3838.66;82343.85011;3840.25;3979;3785;3948.91;42822.35087;3948.91;4021.53;3870;3929.71;40117.53153;TRUE
4051.86;4139.99;3764;3838.66;82343.85011;3840.25;3979;3785;3948.91;42822.35087;3948.91;4021.53;3870;3929.71;40117.53153;3929.71;4198;3924.83;4008.01;64647.80913;FALSE
3840.25;3979;3785;3948.91;42822.35087;3948.91;4021.53;3870;3929.71;40117.53153;3929.71;4198;3924.83;4008.01;64647.80913;4010.11;4020;3646.41;3745.79;62725.62943;TRUE
3948.91;4021.53;3870;3929.71;40117.53153;3929.71;4198;3924.83;4008.01;64647.80913;4010.11;4020;3646.41;3745.79;62725.62943;3745.56;3837.15;3656.74;3777.74;42629.37582;FALSE
3929.71;4198;3924.83;4008.01;64647.80913;4010.11;4020;3646.41;3745.79;62725.62943;3745.56;3837.15;3656.74;3777.74;42629.37582;3777.74;3813.98;3535;3567.91;44097.39291;TRUE
4010.11;4020;3646.41;3745.79;62725.62943;3745.56;3837.15;3656.74;3777.74;42629.37582;3777.74;3813.98;3535;3567.91;44097.39291;3567.89;3887.25;3540.04;3839.26;45964.30499;FALSE
3745.56;3837.15;3656.74;3777.74;42629.37582;3777.74;3813.98;3535;3567.91;44097.39291;3567.89;3887.25;3540.04;3839.26;45964.30499;3839;3892;3670;3695.32;38874.3739;TRUE
3777.74;3813.98;3535;3567.91;44097.39291;3567.89;3887.25;3540.04;3839.26;45964.30499;3839;3892;3670;3695.32;38874.3739;3696.71;3903.5;3657.9;3801.91;33222.36926;FALSE
3567.89;3887.25;3540.04;3839.26;45964.30499;3839;3892;3670;3695.32;38874.3739;3696.71;3903.5;3657.9;3801.91;33222.36926;3803.12;3810;3630.33;3702.9;29991.77835;TRUE
3839;3892;3670;3695.32;38874.3739;3696.71;3903.5;3657.9;3801.91;33222.36926;3803.12;3810;3630.33;3702.9;29991.77835;3701.23;3810.16;3642;3797.14;23741.68703;TRUE
3696.71;3903.5;3657.9;3801.91;33222.36926;3803.12;3810;3630.33;3702.9;29991.77835;3701.23;3810.16;3642;3797.14;23741.68703;3796.45;3882.14;3750.45;3858.56;35156.46337;FALSE
3803.12;3810;3630.33;3702.9;29991.77835;3701.23;3810.16;3642;3797.14;23741.68703;3796.45;3882.14;3750.45;3858.56;35156.46337;3857.57;3862.74;3730;3766.78;29406.94836;TRUE
3701.23;3810.16;3642;3797.14;23741.68703;3796.45;3882.14;3750.45;3858.56;35156.46337;3857.57;3862.74;3730;3766.78;29406.94836;3767.2;3823.64;3703.57;3792.01;29519.55467;FALSE
3796.45;3882.14;3750.45;3858.56;35156.46337;3857.57;3862.74;3730;3766.78;29406.94836;3767.2;3823.64;3703.57;3792.01;29519.55467;3790.09;3840.99;3751;3770.96;30490.66775;TRUE
3857.57;3862.74;3730;3766.78;29406.94836;3767.2;3823.64;3703.57;3792.01;29519.55467;3790.09;3840.99;3751;3770.96;30490.66775;3771.12;4027.71;3740;3987.6;36553.80671;FALSE
3767.2;3823.64;3703.57;3792.01;29519.55467;3790.09;3840.99;3751;3770.96;30490.66775;3771.12;4027.71;3740;3987.6;36553.80671;3987.62;4017.9;3921.53;3975.45;31869.84626;FALSE
3790.09;3840.99;3751;3770.96;30490.66775;3771.12;4027.71;3740;3987.6;36553.80671;3987.62;4017.9;3921.53;3975.45;31869.84626;3976.76;4069.8;3903;3955.13;38901.42312;TRUE
3771.12;4027.71;3740;3987.6;36553.80671;3987.62;4017.9;3921.53;3975.45;31869.84626;3976.76;4069.8;3903;3955.13;38901.42312;3955.45;4006.81;3930.04;3966.65;28989.43951;FALSE
3987.62;4017.9;3921.53;3975.45;31869.84626;3976.76;4069.8;3903;3955.13;38901.42312;3955.45;4006.81;3930.04;3966.65;28989.43951;3966.06;3996.01;3540;3585.88;59402.22851;TRUE
3976.76;4069.8;3903;3955.13;38901.42312;3955.45;4006.81;3930.04;3966.65;28989.43951;3966.06;3996.01;3540;3585.88;59402.22851;3585.88;3658;3465;3601.31;38338.65473;FALSE
3955.45;4006.81;3930.04;3966.65;28989.43951;3966.06;3996.01;3540;3585.88;59402.22851;3585.88;3658;3465;3601.31;38338.65473;3601.31;3618.19;3530;3583.13;21999.92835;FALSE
3966.06;3996.01;3540;3585.88;59402.22851;3585.88;3658;3465;3601.31;38338.65473;3601.31;3618.19;3530;3583.13;21999.92835;3584.1;3611.1;3441.3;3476.81;26385.75745;TRUE
3585.88;3658;3465;3601.31;38338.65473;3601.31;3618.19;3530;3583.13;21999.92835;3584.1;3611.1;3441.3;3476.81;26385.75745;3477.56;3671.87;3467.02;3626.09;35235.21122;FALSE
3601.31;3618.19;3530;3583.13;21999.92835;3584.1;3611.1;3441.3;3476.81;26385.75745;3477.56;3671.87;3467.02;3626.09;35235.21122;3626.08;3648.42;3516.62;3553.06;34137.99746;TRUE
