C1;H1;L1;C1;V1;O2;H2;L2;C2;V2;O3;H3;L3;C3;V3;O4;H4;L4;C4;V4;Final
3685.23;3748.21;3499.02;3699.99;682.17121;3690;4123.2;3690;4035.01;1030.006455;4060;4089.97;3830.91;3910.04;902.332129;3910.04;4046.08;3820;3900;720.935076;FALSE
3690;4123.2;3690;4035.01;1030.006455;4060;4089.97;3830.91;3910.04;902.332129;3910.04;4046.08;3820;3900;720.935076;3889.99;3910;3567;3609.99;1001.654084;TRUE
4060;4089.97;3830.91;3910.04;902.332129;3910.04;4046.08;3820;3900;720.935076;3889.99;3910;3567;3609.99;1001.654084;3592.84;3750;3505.55;3595.87;838.966425;TRUE
3910.04;4046.08;3820;3900;720.935076;3889.99;3910;3567;3609.99;1001.654084;3592.84;3750;3505.55;3595.87;838.966425;3595.88;3817.19;3542.91;3780;752.792791;FALSE
3889.99;3910;3567;3609.99;1001.654084;3592.84;3750;3505.55;3595.87;838.966425;3595.88;3817.19;3542.91;3780;752.792791;3779.54;3789.99;3622.76;3660.02;661.63639;TRUE
3592.84;3750;3505.55;3595.87;838.966425;3595.88;3817.19;3542.91;3780;752.792791;3779.54;3789.99;3622.76;3660.02;661.63639;3660.02;3979.87;3653.69;3920.75;727.994713;FALSE
3595.88;3817.19;3542.91;3780;752.792791;3779.54;3789.99;3622.76;3660.02;661.63639;3660.02;3979.87;3653.69;3920.75;727.994713;3928;3976.99;3850.05;3882.35;526.727987;TRUE
3779.54;3789.99;3622.76;3660.02;661.63639;3660.02;3979.87;3653.69;3920.75;727.994713;3928;3976.99;3850.05;3882.35;526.727987;3882.36;4249.94;3872.81;4193;628.170966;FALSE
3660.02;3979.87;3653.69;3920.75;727.994713;3928;3976.99;3850.05;3882.35;526.727987;3882.36;4249.94;3872.81;4193;628.170966;4192.11;4300;4101;4174.5;849.785325;FALSE
3928;3976.99;3850.05;3882.35;526.727987;3882.36;4249.94;3872.81;4193;628.170966;4192.11;4300;4101;4174.5;849.785325;4178.98;4263.86;3952.01;4174.69;1602.309565;TRUE
3882.36;4249.94;3872.81;4193;628.170966;4192.11;4300;4101;4174.5;849.785325;4178.98;4263.86;3952.01;4174.69;1602.309565;4175;4380;4138.1;4378.51;720.353183;FALSE
4192.11;4300;4101;4174.5;849.785325;4178.98;4263.86;3952.01;4174.69;1602.309565;4175;4380;4138.1;4378.51;720.353183;4378.49;4406.52;4240.04;4378.48;726.963685;FALSE
4178.98;4263.86;3952.01;4174.69;1602.309565;4175;4380;4138.1;4378.51;720.353183;4378.49;4406.52;4240.04;4378.48;726.963685;4400;4561.63;4360;4380;655.756974;FALSE
4175;4380;4138.1;4378.51;720.353183;4378.49;4406.52;4240.04;4378.48;726.963685;4400;4561.63;4360;4380;655.756974;4380;4467.33;4180.8;4310;1082.323563;FALSE
4378.49;4406.52;4240.04;4378.48;726.963685;4400;4561.63;4360;4380;655.756974;4380;4467.33;4180.8;4310;1082.323563;4314.9;4373;4142;4208.59;868.465101;TRUE
4400;4561.63;4360;4380;655.756974;4380;4467.33;4180.8;4310;1082.323563;4314.9;4373;4142;4208.59;868.465101;4208.59;4355;4110;4292.43;779.138638;TRUE
4380;4467.33;4180.8;4310;1082.323563;4314.9;4373;4142;4208.59;868.465101;4208.59;4355;4110;4292.43;779.138638;4318.99;4417;4292;4369;506.529176;TRUE
4314.9;4373;4142;4208.59;868.465101;4208.59;4355;4110;4292.43;779.138638;4318.99;4417;4292;4369;506.529176;4369;4479.5;4312.56;4423;297.5975;TRUE
4208.59;4355;4110;4292.43;779.138638;4318.99;4417;4292;4369;506.529176;4369;4479.5;4312.56;4423;297.5975;4425;4658;4425;4640;518.462004;TRUE
4318.99;4417;4292;4369;506.529176;4369;4479.5;4312.56;4423;297.5975;4425;4658;4425;4640;518.462004;4640;4889.98;4550;4786.95;646.463145;FALSE
4369;4479.5;4312.56;4423;297.5975;4425;4658;4425;4640;518.462004;4640;4889.98;4550;4786.95;646.463145;4786.95;4960;4680.59;4783.06;1043.221773;TRUE
4425;4658;4425;4640;518.462004;4640;4889.98;4550;4786.95;646.463145;4786.95;4960;4680.59;4783.06;1043.221773;4783.06;4881.61;4710;4821.43;753.429396;TRUE
4640;4889.98;4550;4786.95;646.463145;4786.95;4960;4680.59;4783.06;1043.221773;4783.06;4881.61;4710;4821.43;753.429396;4821.43;5439.99;4810.16;5430;1276.701482;TRUE
4786.95;4960;4680.59;4783.06;1043.221773;4783.06;4881.61;4710;4821.43;753.429396;4821.43;5439.99;4810.16;5430;1276.701482;5439.99;5846.17;5379.84;5649.98;1879.82762;TRUE
4783.06;4881.61;4710;4821.43;753.429396;4821.43;5439.99;4810.16;5430;1276.701482;5439.99;5846.17;5379.84;5649.98;1879.82762;5650;5900;5580.01;5869.99;970.759046;FALSE
4821.43;5439.99;4810.16;5430;1276.701482;5439.99;5846.17;5379.84;5649.98;1879.82762;5650;5900;5580.01;5869.99;970.759046;5855.03;5922.3;5400.01;5709.99;1343.523375;TRUE
5439.99;5846.17;5379.84;5649.98;1879.82762;5650;5900;5580.01;5869.99;970.759046;5855.03;5922.3;5400.01;5709.99;1343.523375;5710;5788.91;5585.19;5760.02;1528.996462;FALSE
5650;5900;5580.01;5869.99;970.759046;5855.03;5922.3;5400.01;5709.99;1343.523375;5710;5788.91;5585.19;5760.02;1528.996462;5760;5774.98;5508.63;5595;1429.869376;FALSE
5855.03;5922.3;5400.01;5709.99;1343.523375;5710;5788.91;5585.19;5760.02;1528.996462;5760;5774.98;5508.63;5595;1429.869376;5595;5596;5037.95;5512.06;2317.804373;TRUE
5710;5788.91;5585.19;5760.02;1528.996462;5760;5774.98;5508.63;5595;1429.869376;5595;5596;5037.95;5512.06;2317.804373;5513;5710;5490.26;5683.9;1881.722107;TRUE
5760;5774.98;5508.63;5595;1429.869376;5595;5596;5037.95;5512.06;2317.804373;5513;5710;5490.26;5683.9;1881.722107;5683.31;6110;5600;6010.01;1972.97722;TRUE
5595;5596;5037.95;5512.06;2317.804373;5513;5710;5490.26;5683.9;1881.722107;5683.31;6110;5600;6010.01;1972.97722;6013.72;6171;5850.03;6024.97;1664.307693;FALSE
5513;5710;5490.26;5683.9;1881.722107;5683.31;6110;5600;6010.01;1972.97722;6013.72;6171;5850.03;6024.97;1664.307693;6003.27;6060;5720.03;5950.02;1362.092216;FALSE
5683.31;6110;5600;6010.01;1972.97722;6013.72;6171;5850.03;6024.97;1664.307693;6003.27;6060;5720.03;5950.02;1362.092216;5975;6080;5621.03;5915.93;1812.557715;FALSE
