V1,HLV1,VO1,V2,HLV2,VO2,V3,HLV3,VO3,V4,HLV4,VO4,V5,HLV5,VO5,V6,HLV6,VO6,V7,HLV7,VO7,V8,HLV8,VO8,V9,HLV9,VO9,V10,HLV10,VO10,V11,HLV11,VO11,V12,HLV12,VO12,UP?
2.05,12.37,97374.02,4.81,7.11,71954.28,11.89,12.51,65278.82,0.90,36.17,158831.55,13.93,20.06,118702.89,-3.41,19.89,160185.01,-8.81,30.51,194546.29,10.33,20.53,93763.47,10.70,13.98,75893.43,-2.96,14.01,98391.20,-5.71,9.94,69236.70,-21.18,63.46,343889.37,TRUE
4.81,7.11,71954.28,11.89,12.51,65278.82,0.90,36.17,158831.55,13.93,20.06,118702.89,-3.41,19.89,160185.01,-8.81,30.51,194546.29,10.33,20.53,93763.47,10.70,13.98,75893.43,-2.96,14.01,98391.20,-5.71,9.94,69236.70,-21.18,63.46,343889.37,0.00,42.45,436333.67,FALSE
11.89,12.51,65278.82,0.90,36.17,158831.55,13.93,20.06,118702.89,-3.41,19.89,160185.01,-8.81,30.51,194546.29,10.33,20.53,93763.47,10.70,13.98,75893.43,-2.96,14.01,98391.20,-5.71,9.94,69236.70,-21.18,63.46,343889.37,0.00,42.45,436333.67,-0.60,16.34,294545.71,TRUE
0.90,36.17,158831.55,13.93,20.06,118702.89,-3.41,19.89,160185.01,-8.81,30.51,194546.29,10.33,20.53,93763.47,10.70,13.98,75893.43,-2.96,14.01,98391.20,-5.71,9.94,69236.70,-21.18,63.46,343889.37,0.00,42.45,436333.67,-0.60,16.34,294545.71,3.95,14.67,167954.11,TRUE
13.93,20.06,118702.89,-3.41,19.89,160185.01,-8.81,30.51,194546.29,10.33,20.53,93763.47,10.70,13.98,75893.43,-2.96,14.01,98391.20,-5.71,9.94,69236.70,-21.18,63.46,343889.37,0.00,42.45,436333.67,-0.60,16.34,294545.71,3.95,14.67,167954.11,11.65,13.04,123352.58,FALSE
-3.41,19.89,160185.01,-8.81,30.51,194546.29,10.33,20.53,93763.47,10.70,13.98,75893.43,-2.96,14.01,98391.20,-5.71,9.94,69236.70,-21.18,63.46,343889.37,0.00,42.45,436333.67,-0.60,16.34,294545.71,3.95,14.67,167954.11,11.65,13.04,123352.58,-8.81,15.50,175031.01,FALSE
-8.81,30.51,194546.29,10.33,20.53,93763.47,10.70,13.98,75893.43,-2.96,14.01,98391.20,-5.71,9.94,69236.70,-21.18,63.46,343889.37,0.00,42.45,436333.67,-0.60,16.34,294545.71,3.95,14.67,167954.11,11.65,13.04,123352.58,-8.81,15.50,175031.01,-5.34,20.06,185212.52,FALSE
10.33,20.53,93763.47,10.70,13.98,75893.43,-2.96,14.01,98391.20,-5.71,9.94,69236.70,-21.18,63.46,343889.37,0.00,42.45,436333.67,-0.60,16.34,294545.71,3.95,14.67,167954.11,11.65,13.04,123352.58,-8.81,15.50,175031.01,-5.34,20.06,185212.52,-1.31,13.31,160159.64,TRUE
10.70,13.98,75893.43,-2.96,14.01,98391.20,-5.71,9.94,69236.70,-21.18,63.46,343889.37,0.00,42.45,436333.67,-0.60,16.34,294545.71,3.95,14.67,167954.11,11.65,13.04,123352.58,-8.81,15.50,175031.01,-5.34,20.06,185212.52,-1.31,13.31,160159.64,8.13,12.69,134257.79,FALSE
-2.96,14.01,98391.20,-5.71,9.94,69236.70,-21.18,63.46,343889.37,0.00,42.45,436333.67,-0.60,16.34,294545.71,3.95,14.67,167954.11,11.65,13.04,123352.58,-8.81,15.50,175031.01,-5.34,20.06,185212.52,-1.31,13.31,160159.64,8.13,12.69,134257.79,-0.36,8.23,119415.93,FALSE
-5.71,9.94,69236.70,-21.18,63.46,343889.37,0.00,42.45,436333.67,-0.60,16.34,294545.71,3.95,14.67,167954.11,11.65,13.04,123352.58,-8.81,15.50,175031.01,-5.34,20.06,185212.52,-1.31,13.31,160159.64,8.13,12.69,134257.79,-0.36,8.23,119415.93,-0.40,9.74,145113.64,TRUE
-21.18,63.46,343889.37,0.00,42.45,436333.67,-0.60,16.34,294545.71,3.95,14.67,167954.11,11.65,13.04,123352.58,-8.81,15.50,175031.01,-5.34,20.06,185212.52,-1.31,13.31,160159.64,8.13,12.69,134257.79,-0.36,8.23,119415.93,-0.40,9.74,145113.64,6.47,9.28,96894.34,TRUE
0.00,42.45,436333.67,-0.60,16.34,294545.71,3.95,14.67,167954.11,11.65,13.04,123352.58,-8.81,15.50,175031.01,-5.34,20.06,185212.52,-1.31,13.31,160159.64,8.13,12.69,134257.79,-0.36,8.23,119415.93,-0.40,9.74,145113.64,6.47,9.28,96894.34,11.88,14.84,143510.74,FALSE
-0.60,16.34,294545.71,3.95,14.67,167954.11,11.65,13.04,123352.58,-8.81,15.50,175031.01,-5.34,20.06,185212.52,-1.31,13.31,160159.64,8.13,12.69,134257.79,-0.36,8.23,119415.93,-0.40,9.74,145113.64,6.47,9.28,96894.34,11.88,14.84,143510.74,-5.99,8.37,105292.77,FALSE
3.95,14.67,167954.11,11.65,13.04,123352.58,-8.81,15.50,175031.01,-5.34,20.06,185212.52,-1.31,13.31,160159.64,8.13,12.69,134257.79,-0.36,8.23,119415.93,-0.40,9.74,145113.64,6.47,9.28,96894.34,11.88,14.84,143510.74,-5.99,8.37,105292.77,-7.77,12.93,155278.55,TRUE
11.65,13.04,123352.58,-8.81,15.50,175031.01,-5.34,20.06,185212.52,-1.31,13.31,160159.64,8.13,12.69,134257.79,-0.36,8.23,119415.93,-0.40,9.74,145113.64,6.47,9.28,96894.34,11.88,14.84,143510.74,-5.99,8.37,105292.77,-7.77,12.93,155278.55,3.70,10.30,100372.04,FALSE
-8.81,15.50,175031.01,-5.34,20.06,185212.52,-1.31,13.31,160159.64,8.13,12.69,134257.79,-0.36,8.23,119415.93,-0.40,9.74,145113.64,6.47,9.28,96894.34,11.88,14.84,143510.74,-5.99,8.37,105292.77,-7.77,12.93,155278.55,3.70,10.30,100372.04,-7.46,18.76,203355.29,FALSE
-5.34,20.06,185212.52,-1.31,13.31,160159.64,8.13,12.69,134257.79,-0.36,8.23,119415.93,-0.40,9.74,145113.64,6.47,9.28,96894.34,11.88,14.84,143510.74,-5.99,8.37,105292.77,-7.77,12.93,155278.55,3.70,10.30,100372.04,-7.46,18.76,203355.29,-11.48,33.63,377375.23,TRUE
-1.31,13.31,160159.64,8.13,12.69,134257.79,-0.36,8.23,119415.93,-0.40,9.74,145113.64,6.47,9.28,96894.34,11.88,14.84,143510.74,-5.99,8.37,105292.77,-7.77,12.93,155278.55,3.70,10.30,100372.04,-7.46,18.76,203355.29,-11.48,33.63,377375.23,5.12,17.27,160037.88,FALSE
8.13,12.69,134257.79,-0.36,8.23,119415.93,-0.40,9.74,145113.64,6.47,9.28,96894.34,11.88,14.84,143510.74,-5.99,8.37,105292.77,-7.77,12.93,155278.55,3.70,10.30,100372.04,-7.46,18.76,203355.29,-11.48,33.63,377375.23,5.12,17.27,160037.88,-15.18,23.57,186446.03,FALSE
-0.36,8.23,119415.93,-0.40,9.74,145113.64,6.47,9.28,96894.34,11.88,14.84,143510.74,-5.99,8.37,105292.77,-7.77,12.93,155278.55,3.70,10.30,100372.04,-7.46,18.76,203355.29,-11.48,33.63,377375.23,5.12,17.27,160037.88,-15.18,23.57,186446.03,-15.05,35.83,365516.53,TRUE
-0.40,9.74,145113.64,6.47,9.28,96894.34,11.88,14.84,143510.74,-5.99,8.37,105292.77,-7.77,12.93,155278.55,3.70,10.30,100372.04,-7.46,18.76,203355.29,-11.48,33.63,377375.23,5.12,17.27,160037.88,-15.18,23.57,186446.03,-15.05,35.83,365516.53,11.65,39.98,648944.42,FALSE
6.47,9.28,96894.34,11.88,14.84,143510.74,-5.99,8.37,105292.77,-7.77,12.93,155278.55,3.70,10.30,100372.04,-7.46,18.76,203355.29,-11.48,33.63,377375.23,5.12,17.27,160037.88,-15.18,23.57,186446.03,-15.05,35.83,365516.53,11.65,39.98,648944.42,-3.33,18.88,356403.44,TRUE
11.88,14.84,143510.74,-5.99,8.37,105292.77,-7.77,12.93,155278.55,3.70,10.30,100372.04,-7.46,18.76,203355.29,-11.48,33.63,377375.23,5.12,17.27,160037.88,-15.18,23.57,186446.03,-15.05,35.83,365516.53,11.65,39.98,648944.42,-3.33,18.88,356403.44,3.78,4.78,10516.26,TRUE
-5.99,8.37,105292.77,-7.77,12.93,155278.55,3.70,10.30,100372.04,-7.46,18.76,203355.29,-11.48,33.63,377375.23,5.12,17.27,160037.88,-15.18,23.57,186446.03,-15.05,35.83,365516.53,11.65,39.98,648944.42,-3.33,18.88,356403.44,3.78,4.78,10516.26,12.20,12.86,95447.67,FALSE
-7.77,12.93,155278.55,3.70,10.30,100372.04,-7.46,18.76,203355.29,-11.48,33.63,377375.23,5.12,17.27,160037.88,-15.18,23.57,186446.03,-15.05,35.83,365516.53,11.65,39.98,648944.42,-3.33,18.88,356403.44,3.78,4.78,10516.26,12.20,12.86,95447.67,-2.87,13.90,214818.07,FALSE
3.70,10.30,100372.04,-7.46,18.76,203355.29,-11.48,33.63,377375.23,5.12,17.27,160037.88,-15.18,23.57,186446.03,-15.05,35.83,365516.53,11.65,39.98,648944.42,-3.33,18.88,356403.44,3.78,4.78,10516.26,12.20,12.86,95447.67,-2.87,13.90,214818.07,-4.95,11.55,189323.41,TRUE
-7.46,18.76,203355.29,-11.48,33.63,377375.23,5.12,17.27,160037.88,-15.18,23.57,186446.03,-15.05,35.83,365516.53,11.65,39.98,648944.42,-3.33,18.88,356403.44,3.78,4.78,10516.26,12.20,12.86,95447.67,-2.87,13.90,214818.07,-4.95,11.55,189323.41,7.18,8.68,143586.93,FALSE
-11.48,33.63,377375.23,5.12,17.27,160037.88,-15.18,23.57,186446.03,-15.05,35.83,365516.53,11.65,39.98,648944.42,-3.33,18.88,356403.44,3.78,4.78,10516.26,12.20,12.86,95447.67,-2.87,13.90,214818.07,-4.95,11.55,189323.41,7.18,8.68,143586.93,-2.86,6.22,110305.94,TRUE
5.12,17.27,160037.88,-15.18,23.57,186446.03,-15.05,35.83,365516.53,11.65,39.98,648944.42,-3.33,18.88,356403.44,3.78,4.78,10516.26,12.20,12.86,95447.67,-2.87,13.90,214818.07,-4.95,11.55,189323.41,7.18,8.68,143586.93,-2.86,6.22,110305.94,9.21,9.95,150342.86,TRUE
-15.18,23.57,186446.03,-15.05,35.83,365516.53,11.65,39.98,648944.42,-3.33,18.88,356403.44,3.78,4.78,10516.26,12.20,12.86,95447.67,-2.87,13.90,214818.07,-4.95,11.55,189323.41,7.18,8.68,143586.93,-2.86,6.22,110305.94,9.21,9.95,150342.86,0.59,5.70,155637.79,TRUE
-15.05,35.83,365516.53,11.65,39.98,648944.42,-3.33,18.88,356403.44,3.78,4.78,10516.26,12.20,12.86,95447.67,-2.87,13.90,214818.07,-4.95,11.55,189323.41,7.18,8.68,143586.93,-2.86,6.22,110305.94,9.21,9.95,150342.86,0.59,5.70,155637.79,1.53,5.23,115540.16,TRUE
11.65,39.98,648944.42,-3.33,18.88,356403.44,3.78,4.78,10516.26,12.20,12.86,95447.67,-2.87,13.90,214818.07,-4.95,11.55,189323.41,7.18,8.68,143586.93,-2.86,6.22,110305.94,9.21,9.95,150342.86,0.59,5.70,155637.79,1.53,5.23,115540.16,3.34,4.34,110091.04,FALSE
-3.33,18.88,356403.44,3.78,4.78,10516.26,12.20,12.86,95447.67,-2.87,13.90,214818.07,-4.95,11.55,189323.41,7.18,8.68,143586.93,-2.86,6.22,110305.94,9.21,9.95,150342.86,0.59,5.70,155637.79,1.53,5.23,115540.16,3.34,4.34,110091.04,-6.08,9.09,160129.80,TRUE
3.78,4.78,10516.26,12.20,12.86,95447.67,-2.87,13.90,214818.07,-4.95,11.55,189323.41,7.18,8.68,143586.93,-2.86,6.22,110305.94,9.21,9.95,150342.86,0.59,5.70,155637.79,1.53,5.23,115540.16,3.34,4.34,110091.04,-6.08,9.09,160129.80,2.98,5.54,80099.50,FALSE
12.20,12.86,95447.67,-2.87,13.90,214818.07,-4.95,11.55,189323.41,7.18,8.68,143586.93,-2.86,6.22,110305.94,9.21,9.95,150342.86,0.59,5.70,155637.79,1.53,5.23,115540.16,3.34,4.34,110091.04,-6.08,9.09,160129.80,2.98,5.54,80099.50,-5.98,10.08,120056.68,FALSE
-2.87,13.90,214818.07,-4.95,11.55,189323.41,7.18,8.68,143586.93,-2.86,6.22,110305.94,9.21,9.95,150342.86,0.59,5.70,155637.79,1.53,5.23,115540.16,3.34,4.34,110091.04,-6.08,9.09,160129.80,2.98,5.54,80099.50,-5.98,10.08,120056.68,-5.33,11.81,176200.55,FALSE
-4.95,11.55,189323.41,7.18,8.68,143586.93,-2.86,6.22,110305.94,9.21,9.95,150342.86,0.59,5.70,155637.79,1.53,5.23,115540.16,3.34,4.34,110091.04,-6.08,9.09,160129.80,2.98,5.54,80099.50,-5.98,10.08,120056.68,-5.33,11.81,176200.55,-4.17,10.85,137561.85,TRUE
7.18,8.68,143586.93,-2.86,6.22,110305.94,9.21,9.95,150342.86,0.59,5.70,155637.79,1.53,5.23,115540.16,3.34,4.34,110091.04,-6.08,9.09,160129.80,2.98,5.54,80099.50,-5.98,10.08,120056.68,-5.33,11.81,176200.55,-4.17,10.85,137561.85,6.25,12.60,154507.41,FALSE
-2.86,6.22,110305.94,9.21,9.95,150342.86,0.59,5.70,155637.79,1.53,5.23,115540.16,3.34,4.34,110091.04,-6.08,9.09,160129.80,2.98,5.54,80099.50,-5.98,10.08,120056.68,-5.33,11.81,176200.55,-4.17,10.85,137561.85,6.25,12.60,154507.41,-2.07,8.70,89311.58,TRUE
9.21,9.95,150342.86,0.59,5.70,155637.79,1.53,5.23,115540.16,3.34,4.34,110091.04,-6.08,9.09,160129.80,2.98,5.54,80099.50,-5.98,10.08,120056.68,-5.33,11.81,176200.55,-4.17,10.85,137561.85,6.25,12.60,154507.41,-2.07,8.70,89311.58,0.87,4.47,59431.26,TRUE
0.59,5.70,155637.79,1.53,5.23,115540.16,3.34,4.34,110091.04,-6.08,9.09,160129.80,2.98,5.54,80099.50,-5.98,10.08,120056.68,-5.33,11.81,176200.55,-4.17,10.85,137561.85,6.25,12.60,154507.41,-2.07,8.70,89311.58,0.87,4.47,59431.26,3.15,5.88,74911.47,TRUE
1.53,5.23,115540.16,3.34,4.34,110091.04,-6.08,9.09,160129.80,2.98,5.54,80099.50,-5.98,10.08,120056.68,-5.33,11.81,176200.55,-4.17,10.85,137561.85,6.25,12.60,154507.41,-2.07,8.70,89311.58,0.87,4.47,59431.26,3.15,5.88,74911.47,0.25,4.28,63487.68,FALSE
3.34,4.34,110091.04,-6.08,9.09,160129.80,2.98,5.54,80099.50,-5.98,10.08,120056.68,-5.33,11.81,176200.55,-4.17,10.85,137561.85,6.25,12.60,154507.41,-2.07,8.70,89311.58,0.87,4.47,59431.26,3.15,5.88,74911.47,0.25,4.28,63487.68,-2.10,4.79,53620.45,TRUE
-6.08,9.09,160129.80,2.98,5.54,80099.50,-5.98,10.08,120056.68,-5.33,11.81,176200.55,-4.17,10.85,137561.85,6.25,12.60,154507.41,-2.07,8.70,89311.58,0.87,4.47,59431.26,3.15,5.88,74911.47,0.25,4.28,63487.68,-2.10,4.79,53620.45,2.01,3.69,43785.01,FALSE
2.98,5.54,80099.50,-5.98,10.08,120056.68,-5.33,11.81,176200.55,-4.17,10.85,137561.85,6.25,12.60,154507.41,-2.07,8.70,89311.58,0.87,4.47,59431.26,3.15,5.88,74911.47,0.25,4.28,63487.68,-2.10,4.79,53620.45,2.01,3.69,43785.01,-1.65,3.08,39436.26,FALSE
-5.98,10.08,120056.68,-5.33,11.81,176200.55,-4.17,10.85,137561.85,6.25,12.60,154507.41,-2.07,8.70,89311.58,0.87,4.47,59431.26,3.15,5.88,74911.47,0.25,4.28,63487.68,-2.10,4.79,53620.45,2.01,3.69,43785.01,-1.65,3.08,39436.26,-0.03,2.17,34170.29,TRUE
-5.33,11.81,176200.55,-4.17,10.85,137561.85,6.25,12.60,154507.41,-2.07,8.70,89311.58,0.87,4.47,59431.26,3.15,5.88,74911.47,0.25,4.28,63487.68,-2.10,4.79,53620.45,2.01,3.69,43785.01,-1.65,3.08,39436.26,-0.03,2.17,34170.29,1.19,3.80,29735.02,FALSE
-4.17,10.85,137561.85,6.25,12.60,154507.41,-2.07,8.70,89311.58,0.87,4.47,59431.26,3.15,5.88,74911.47,0.25,4.28,63487.68,-2.10,4.79,53620.45,2.01,3.69,43785.01,-1.65,3.08,39436.26,-0.03,2.17,34170.29,1.19,3.80,29735.02,-1.94,2.90,30567.80,FALSE
6.25,12.60,154507.41,-2.07,8.70,89311.58,0.87,4.47,59431.26,3.15,5.88,74911.47,0.25,4.28,63487.68,-2.10,4.79,53620.45,2.01,3.69,43785.01,-1.65,3.08,39436.26,-0.03,2.17,34170.29,1.19,3.80,29735.02,-1.94,2.90,30567.80,-4.32,6.25,48658.07,FALSE
-2.07,8.70,89311.58,0.87,4.47,59431.26,3.15,5.88,74911.47,0.25,4.28,63487.68,-2.10,4.79,53620.45,2.01,3.69,43785.01,-1.65,3.08,39436.26,-0.03,2.17,34170.29,1.19,3.80,29735.02,-1.94,2.90,30567.80,-4.32,6.25,48658.07,-7.80,15.01,109013.28,FALSE
0.87,4.47,59431.26,3.15,5.88,74911.47,0.25,4.28,63487.68,-2.10,4.79,53620.45,2.01,3.69,43785.01,-1.65,3.08,39436.26,-0.03,2.17,34170.29,1.19,3.80,29735.02,-1.94,2.90,30567.80,-4.32,6.25,48658.07,-7.80,15.01,109013.28,-7.15,12.88,76312.78,TRUE
