V1,HLV1,VO1,V2,HLV2,VO2,V3,HLV3,VO3,V4,HLV4,VO4,V5,HLV5,VO5,V6,HLV6,VO6,V7,HLV7,VO7,V8,HLV8,VO8,V9,HLV9,VO9,V10,HLV10,VO10,V11,HLV11,VO11,V12,HLV12,VO12,UP?
0.553798211,6.776187053,795.150377,-4.123843662,10.98693247,1199.888264,0.769404898,8.693246753,381.309763,-0.84179006,4.425410775,467.083022,-1.305684507,5.312913014,691.74306,0.597609562,20.73,966.684858,1.831930693,6.27595674,1001.136565,4.075476248,7.01760828,787.418753,-0.818580124,4.860058199,573.61274,1.325247447,3.669870692,228.108068,-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,TRUE
-4.123843662,10.98693247,1199.888264,0.769404898,8.693246753,381.309763,-0.84179006,4.425410775,467.083022,-1.305684507,5.312913014,691.74306,0.597609562,20.73,966.684858,1.831930693,6.27595674,1001.136565,4.075476248,7.01760828,787.418753,-0.818580124,4.860058199,573.61274,1.325247447,3.669870692,228.108068,-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,FALSE
0.769404898,8.693246753,381.309763,-0.84179006,4.425410775,467.083022,-1.305684507,5.312913014,691.74306,0.597609562,20.73,966.684858,1.831930693,6.27595674,1001.136565,4.075476248,7.01760828,787.418753,-0.818580124,4.860058199,573.61274,1.325247447,3.669870692,228.108068,-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,TRUE
-0.84179006,4.425410775,467.083022,-1.305684507,5.312913014,691.74306,0.597609562,20.73,966.684858,1.831930693,6.27595674,1001.136565,4.075476248,7.01760828,787.418753,-0.818580124,4.860058199,573.61274,1.325247447,3.669870692,228.108068,-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,TRUE
-1.305684507,5.312913014,691.74306,0.597609562,20.73,966.684858,1.831930693,6.27595674,1001.136565,4.075476248,7.01760828,787.418753,-0.818580124,4.860058199,573.61274,1.325247447,3.669870692,228.108068,-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,3.092183399,4.955444609,560.666366,FALSE
0.597609562,20.73,966.684858,1.831930693,6.27595674,1001.136565,4.075476248,7.01760828,787.418753,-0.818580124,4.860058199,573.61274,1.325247447,3.669870692,228.108068,-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,3.092183399,4.955444609,560.666366,-6.755821324,15.21669656,929.148595,TRUE
1.831930693,6.27595674,1001.136565,4.075476248,7.01760828,787.418753,-0.818580124,4.860058199,573.61274,1.325247447,3.669870692,228.108068,-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,3.092183399,4.955444609,560.666366,-6.755821324,15.21669656,929.148595,0.012864589,9.688181224,691.216198,FALSE
4.075476248,7.01760828,787.418753,-0.818580124,4.860058199,573.61274,1.325247447,3.669870692,228.108068,-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,3.092183399,4.955444609,560.666366,-6.755821324,15.21669656,929.148595,0.012864589,9.688181224,691.216198,-8.987569367,13.97051235,1394.644614,TRUE
-0.818580124,4.860058199,573.61274,1.325247447,3.669870692,228.108068,-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,3.092183399,4.955444609,560.666366,-6.755821324,15.21669656,929.148595,0.012864589,9.688181224,691.216198,-8.987569367,13.97051235,1394.644614,6.318526797,24.47932279,1228.938157,TRUE
1.325247447,3.669870692,228.108068,-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,3.092183399,4.955444609,560.666366,-6.755821324,15.21669656,929.148595,0.012864589,9.688181224,691.216198,-8.987569367,13.97051235,1394.644614,6.318526797,24.47932279,1228.938157,5.800540022,7.556870868,807.363726,TRUE
-0.519329442,2.670841948,350.692585,1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,3.092183399,4.955444609,560.666366,-6.755821324,15.21669656,929.148595,0.012864589,9.688181224,691.216198,-8.987569367,13.97051235,1394.644614,6.318526797,24.47932279,1228.938157,5.800540022,7.556870868,807.363726,1.555055771,7.895110394,500.429975,FALSE
1.779114202,6.67419882,603.841616,5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,3.092183399,4.955444609,560.666366,-6.755821324,15.21669656,929.148595,0.012864589,9.688181224,691.216198,-8.987569367,13.97051235,1394.644614,6.318526797,24.47932279,1228.938157,5.800540022,7.556870868,807.363726,1.555055771,7.895110394,500.429975,-8.714612738,17.53468042,1132.255046,FALSE
5.370895685,7.239976354,603.545028,-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,3.092183399,4.955444609,560.666366,-6.755821324,15.21669656,929.148595,0.012864589,9.688181224,691.216198,-8.987569367,13.97051235,1394.644614,6.318526797,24.47932279,1228.938157,5.800540022,7.556870868,807.363726,1.555055771,7.895110394,500.429975,-8.714612738,17.53468042,1132.255046,-0.560147567,6.664000039,658.782952,FALSE
-0.205498059,5.242288854,808.468771,3.726559447,4.177259096,556.956802,3.092183399,4.955444609,560.666366,-6.755821324,15.21669656,929.148595,0.012864589,9.688181224,691.216198,-8.987569367,13.97051235,1394.644614,6.318526797,24.47932279,1228.938157,5.800540022,7.556870868,807.363726,1.555055771,7.895110394,500.429975,-8.714612738,17.53468042,1132.255046,-0.560147567,6.664000039,658.782952,-3.015865934,12.68087345,660.373275,TRUE
