CO1,HL1,HO1,HC1,OL1,CL1,V1,CO2,HL2,HO2,HC2,OL2,CL2,V2,CO3,HL3,HO3,HC3,OL3,CL3,V3,CO4,HL4,HO4,HC4,OL4,CL4,V4,Final
10.87439106,39.57117647,11.35614857,0.43450747,25.33764706,38.96735294,10015.64027,-6.639388131,75.33510827,5.315689707,12.80526937,66.48526802,55.43166489,27634.18912,47.6079653,58.10243309,48.40755603,0.541698901,6.532603406,57.25060827,41626.38846,52.2351849,112.2067376,74.8418691,14.84984185,21.37066409,84.76885489,108487.9781,TRUE
-6.639388131,75.33510827,5.315689707,12.80526937,66.48526802,55.43166489,27634.18912,47.6079653,58.10243309,48.40755603,0.541698901,6.532603406,57.25060827,41626.38846,52.2351849,112.2067376,74.8418691,14.84984185,21.37066409,84.76885489,108487.9781,39.43641354,111.0733475,101.2674596,44.34354304,4.87206823,46.22985075,408476.6584,FALSE
47.6079653,58.10243309,48.40755603,0.541698901,6.532603406,57.25060827,41626.38846,52.2351849,112.2067376,74.8418691,14.84984185,21.37066409,84.76885489,108487.9781,39.43641354,111.0733475,101.2674596,44.34354304,4.87206823,46.22985075,408476.6584,-25.01193892,90.10780299,25.2309588,67.0011959,51.8057554,13.83619258,816675.5645,TRUE
52.2351849,112.2067376,74.8418691,14.84984185,21.37066409,84.76885489,108487.9781,39.43641354,111.0733475,101.2674596,44.34354304,4.87206823,46.22985075,408476.6584,-25.01193892,90.10780299,25.2309588,67.0011959,51.8057554,13.83619258,816675.5645,0.405051968,96.43317261,14.59305209,14.13076318,71.41804764,72.11237981,1243940.855,FALSE
39.43641354,111.0733475,101.2674596,44.34354304,4.87206823,46.22985075,408476.6584,-25.01193892,90.10780299,25.2309588,67.0011959,51.8057554,13.83619258,816675.5645,0.405051968,96.43317261,14.59305209,14.13076318,71.41804764,72.11237981,1243940.855,-32.94449545,77.42155422,13.407014,69.12409318,56.4467205,4.906137786,1235326.314,TRUE
-25.01193892,90.10780299,25.2309588,67.0011959,51.8057554,13.83619258,816675.5645,0.405051968,96.43317261,14.59305209,14.13076318,71.41804764,72.11237981,1243940.855,-32.94449545,77.42155422,13.407014,69.12409318,56.4467205,4.906137786,1235326.314,33.574256,51.78569207,40.99711066,5.557099765,7.65163297,43.79486781,1110964.016,FALSE
0.405051968,96.43317261,14.59305209,14.13076318,71.41804764,72.11237981,1243940.855,-32.94449545,77.42155422,13.407014,69.12409318,56.4467205,4.906137786,1235326.314,33.574256,51.78569207,40.99711066,5.557099765,7.65163297,43.79486781,1110964.016,-19.04605338,42.47222005,8.371070332,33.86755662,31.46702308,6.427743692,914476.3779,FALSE
-32.94449545,77.42155422,13.407014,69.12409318,56.4467205,4.906137786,1235326.314,33.574256,51.78569207,40.99711066,5.557099765,7.65163297,43.79486781,1110964.016,-19.04605338,42.47222005,8.371070332,33.86755662,31.46702308,6.427743692,914476.3779,-14.62843737,35.42069565,4.030455537,21.8560986,30.17408696,11.13165217,942249.7659,TRUE
33.574256,51.78569207,40.99711066,5.557099765,7.65163297,43.79486781,1110964.016,-19.04605338,42.47222005,8.371070332,33.86755662,31.46702308,6.427743692,914476.3779,-14.62843737,35.42069565,4.030455537,21.8560986,30.17408696,11.13165217,942249.7659,20.96437535,39.89736409,32.86909255,9.841506779,5.289621087,27.36293245,1102510.437,FALSE
-19.04605338,42.47222005,8.371070332,33.86755662,31.46702308,6.427743692,914476.3779,-14.62843737,35.42069565,4.030455537,21.8560986,30.17408696,11.13165217,942249.7659,20.96437535,39.89736409,32.86909255,9.841506779,5.289621087,27.36293245,1102510.437,-9.365187502,31.80272109,0.185245751,10.53726817,31.55901361,19.23826531,1408159.817,FALSE
-14.62843737,35.42069565,4.030455537,21.8560986,30.17408696,11.13165217,942249.7659,20.96437535,39.89736409,32.86909255,9.841506779,5.289621087,27.36293245,1102510.437,-9.365187502,31.80272109,0.185245751,10.53726817,31.55901361,19.23826531,1408159.817,-5.486071591,21.25675012,5.687891248,11.82255677,14.73097693,8.436753396,1100653.423,FALSE
20.96437535,39.89736409,32.86909255,9.841506779,5.289621087,27.36293245,1102510.437,-9.365187502,31.80272109,0.185245751,10.53726817,31.55901361,19.23826531,1408159.817,-5.486071591,21.25675012,5.687891248,11.82255677,14.73097693,8.436753396,1100653.423,-3.842711991,23.7711523,15.89706288,20.52863104,6.794037067,2.690249799,629922.0862,FALSE
-9.365187502,31.80272109,0.185245751,10.53726817,31.55901361,19.23826531,1408159.817,-5.486071591,21.25675012,5.687891248,11.82255677,14.73097693,8.436753396,1100653.423,-3.842711991,23.7711523,15.89706288,20.52863104,6.794037067,2.690249799,629922.0862,-36.55220488,81.10500293,3.856334543,63.68785446,74.38031462,10.64046476,1210365.45,FALSE
-5.486071591,21.25675012,5.687891248,11.82255677,14.73097693,8.436753396,1100653.423,-3.842711991,23.7711523,15.89706288,20.52863104,6.794037067,2.690249799,629922.0862,-36.55220488,81.10500293,3.856334543,63.68785446,74.38031462,10.64046476,1210365.45,-8.372862986,36.64875517,6.723628958,16.47600529,28.03983195,17.31923226,1591229.147,FALSE
-3.842711991,23.7711523,15.89706288,20.52863104,6.794037067,2.690249799,629922.0862,-36.55220488,81.10500293,3.856334543,63.68785446,74.38031462,10.64046476,1210365.45,-8.372862986,36.64875517,6.723628958,16.47600529,28.03983195,17.31923226,1591229.147,-7.217330455,21.48946841,9.958040976,18.51140037,10.48711611,2.51289583,908244.1405,TRUE
-36.55220488,81.10500293,3.856334543,63.68785446,74.38031462,10.64046476,1210365.45,-8.372862986,36.64875517,6.723628958,16.47600529,28.03983195,17.31923226,1591229.147,-7.217330455,21.48946841,9.958040976,18.51140037,10.48711611,2.51289583,908244.1405,11.05355115,24.45524888,22.24454733,10.07711691,1.808425484,13.06187187,861783.9867,TRUE
-8.372862986,36.64875517,6.723628958,16.47600529,28.03983195,17.31923226,1591229.147,-7.217330455,21.48946841,9.958040976,18.51140037,10.48711611,2.51289583,908244.1405,11.05355115,24.45524888,22.24454733,10.07711691,1.808425484,13.06187187,861783.9867,7.594920116,12.78533464,8.540057573,0.878422008,3.911253742,11.80323046,787190.4893,TRUE
-7.217330455,21.48946841,9.958040976,18.51140037,10.48711611,2.51289583,908244.1405,11.05355115,24.45524888,22.24454733,10.07711691,1.808425484,13.06187187,861783.9867,7.594920116,12.78533464,8.540057573,0.878422008,3.911253742,11.80323046,787190.4893,29.69866713,37.69363167,36.50412925,5.247133425,0.871403983,30.82886649,1126961.315,TRUE
11.05355115,24.45524888,22.24454733,10.07711691,1.808425484,13.06187187,861783.9867,7.594920116,12.78533464,8.540057573,0.878422008,3.911253742,11.80323046,787190.4893,29.69866713,37.69363167,36.50412925,5.247133425,0.871403983,30.82886649,1126961.315,60.74965144,70.69071893,70.50661977,6.069666861,0.10797186,60.92321583,1498409.89,TRUE
7.594920116,12.78533464,8.540057573,0.878422008,3.911253742,11.80323046,787190.4893,29.69866713,37.69363167,36.50412925,5.247133425,0.871403983,30.82886649,1126961.315,60.74965144,70.69071893,70.50661977,6.069666861,0.10797186,60.92321583,1498409.89,26.87434249,87.65329945,63.29631794,28.7071245,14.91581795,45.79868844,1689489.647,FALSE
29.69866713,37.69363167,36.50412925,5.247133425,0.871403983,30.82886649,1126961.315,60.74965144,70.69071893,70.50661977,6.069666861,0.10797186,60.92321583,1498409.89,26.87434249,87.65329945,63.29631794,28.7071245,14.91581795,45.79868844,1689489.647,-7.126984273,45.11125828,21.12547332,30.42052352,19.80242826,11.26412804,1886176.066,FALSE
