O1,H1,L1,C1,V1,O2,H2,L2,C2,V2,O3,H3,L3,C3,V3,O4,H4,L4,C4,V4,Final
292.89,318.19,191.84,218.42,11176590.65,218.42,239.15,163.61,171.57,6963710.332,171.52,223.94,150.03,180.85,13648082.37,180.89,197.74,153.45,182.18,14105916.59,FALSE
218.42,239.15,163.61,171.57,6963710.332,171.52,223.94,150.03,180.85,13648082.37,180.89,197.74,153.45,182.18,14105916.59,182.19,195.09,131.45,151.37,10175750.16,FALSE
171.52,223.94,150.03,180.85,13648082.37,180.89,197.74,153.45,182.18,14105916.59,182.19,195.09,131.45,151.37,10175750.16,151.43,152.49,116.26,129.16,8781775.783,TRUE
180.89,197.74,153.45,182.18,14105916.59,182.19,195.09,131.45,151.37,10175750.16,151.43,152.49,116.26,129.16,8781775.783,129.16,187,125.88,179.99,12817879.26,TRUE
182.19,195.09,131.45,151.37,10175750.16,151.43,152.49,116.26,129.16,8781775.783,129.16,187,125.88,179.99,12817879.26,179.94,288.41,179.1,217.21,21153996.15,FALSE
151.43,152.49,116.26,129.16,8781775.783,129.16,187,125.88,179.99,12817879.26,179.94,288.41,179.1,217.21,21153996.15,217.29,251.93,86,132.72,40100166.99,TRUE
129.16,187,125.88,179.99,12817879.26,179.94,288.41,179.1,217.21,21153996.15,217.29,251.93,86,132.72,40100166.99,132.72,227.3,128.62,206.08,30622487.94,TRUE
179.94,288.41,179.1,217.21,21153996.15,217.29,251.93,86,132.72,40100166.99,132.72,227.3,128.62,206.08,30622487.94,206.07,247,176,231.57,24717586.82,FALSE
217.29,251.93,86,132.72,40100166.99,132.72,227.3,128.62,206.08,30622487.94,206.07,247,176,231.57,24717586.82,231.56,253.8,216,225.6,16073920.08,TRUE
132.72,227.3,128.62,206.08,30622487.94,206.07,247,176,231.57,24717586.82,231.56,253.8,216,225.6,16073920.08,225.59,349.45,222.87,346.33,20935176.05,TRUE
206.07,247,176,231.57,24717586.82,231.56,253.8,216,225.6,16073920.08,225.59,349.45,222.87,346.33,20935176.05,346.32,446,325,433.79,28769352.89,FALSE
231.56,253.8,216,225.6,16073920.08,225.59,349.45,222.87,346.33,20935176.05,346.32,446,325,433.79,28769352.89,433.8,488.84,308.42,359.83,34431117.99,TRUE
225.59,349.45,222.87,346.33,20935176.05,346.32,446,325,433.79,28769352.89,433.8,488.84,308.42,359.83,34431117.99,359.83,420.73,332.18,386.46,19292758.26,TRUE
346.32,446,325,433.79,28769352.89,433.8,488.84,308.42,359.83,34431117.99,359.83,420.73,332.18,386.46,19292758.26,386.44,623,370.23,616.66,36426105.33,TRUE
433.8,488.84,308.42,359.83,34431117.99,359.83,420.73,332.18,386.46,19292758.26,386.44,623,370.23,616.66,36426105.33,616.65,758.74,530.43,736.42,30451194.43,TRUE
359.83,420.73,332.18,386.46,19292758.26,386.44,623,370.23,616.66,36426105.33,616.65,758.74,530.43,736.42,30451194.43,736.42,1475,714.29,1312.55,59503044.01,TRUE
386.44,623,370.23,616.66,36426105.33,616.65,758.74,530.43,736.42,30451194.43,736.42,1475,714.29,1312.55,59503044.01,1312.45,2042.34,1269.99,1419.18,33561918.29,TRUE
616.65,758.74,530.43,736.42,30451194.43,736.42,1475,714.29,1312.55,59503044.01,1312.45,2042.34,1269.99,1419.18,33561918.29,1418.67,1947.29,1409.91,1919.37,23574009.13,TRUE
736.42,1475,714.29,1312.55,59503044.01,1312.45,2042.34,1269.99,1419.18,33561918.29,1418.67,1947.29,1409.91,1919.37,23574009.13,1919.37,2798.3,1885.02,2772.42,27220161.76,FALSE
1312.45,2042.34,1269.99,1419.18,33561918.29,1418.67,1947.29,1409.91,1919.37,23574009.13,1919.37,2798.3,1885.02,2772.42,27220161.76,2772.42,4372.72,1728.74,2706.15,49340730.68,FALSE
1418.67,1947.29,1409.91,1919.37,23574009.13,1919.37,2798.3,1885.02,2772.42,27220161.76,2772.42,4372.72,1728.74,2706.15,49340730.68,2706.15,2891.95,1700.48,2275.68,27539800.65,TRUE
1919.37,2798.3,1885.02,2772.42,27220161.76,2772.42,4372.72,1728.74,2706.15,49340730.68,2706.15,2891.95,1700.48,2275.68,27539800.65,2275.68,2553.86,1706,2531.05,21263142.44,TRUE
2772.42,4372.72,1728.74,2706.15,49340730.68,2706.15,2891.95,1700.48,2275.68,27539800.65,2275.68,2553.86,1706,2531.05,21263142.44,2531.1,3476,2442.32,3429.2,21436438.89,FALSE
2706.15,2891.95,1700.48,2275.68,27539800.65,2275.68,2553.86,1706,2531.05,21263142.44,2531.1,3476,2442.32,3429.2,21436438.89,3429.19,4027.88,2652,3000.61,17261458.34,TRUE
2275.68,2553.86,1706,2531.05,21263142.44,2531.1,3476,2442.32,3429.2,21436438.89,3429.19,4027.88,2652,3000.61,17261458.34,3000.62,4460.47,2969.07,4287.21,14410441.89,TRUE
2531.1,3476,2442.32,3429.2,21436438.89,3429.19,4027.88,2652,3000.61,17261458.34,3000.62,4460.47,2969.07,4287.21,14410441.89,4287.48,4868,3913,4630.26,12756119.37,FALSE
3429.19,4027.88,2652,3000.61,17261458.34,3000.62,4460.47,2969.07,4287.21,14410441.89,4287.48,4868,3913,4630.26,12756119.37,4630.25,4778.75,3503.68,3676.23,12944880.08,FALSE
3000.62,4460.47,2969.07,4287.21,14410441.89,4287.48,4868,3913,4630.26,12756119.37,4630.25,4778.75,3503.68,3676.23,12944880.08,3676.22,3900.73,2159,2686.94,13966551.02,TRUE
