V1,HLV1,V2,HLV2,V3,HLV3,V4,HLV4,V5,HLV5,V6,HLV6,V7,HLV7,V8,HLV8,V9,HLV9,V10,HLV10,V11,HLV11,V12,HLV12,Final
110.4107649,254.1076487,12.24764468,36.16799722,-7.3441247,23.99584488,-4.982206406,12.43243243,-0.578821927,7.532106907,-17.29452055,22.25457571,11.51615576,18.48774408,1.374442793,8.73015873,9.747160132,23.29912581,1.368948247,18.13250678,2.141680395,13.62369338,17.90322581,27.4025974,FALSE
12.24764468,36.16799722,-7.3441247,23.99584488,-4.982206406,12.43243243,-0.578821927,7.532106907,-17.29452055,22.25457571,11.51615576,18.48774408,1.374442793,8.73015873,9.747160132,23.29912581,1.368948247,18.13250678,2.141680395,13.62369338,17.90322581,27.4025974,-5.170998632,12.86011286,FALSE
-7.3441247,23.99584488,-4.982206406,12.43243243,-0.578821927,7.532106907,-17.29452055,22.25457571,11.51615576,18.48774408,1.374442793,8.73015873,9.747160132,23.29912581,1.368948247,18.13250678,2.141680395,13.62369338,17.90322581,27.4025974,-5.170998632,12.86011286,-5.968858131,14.81598985,TRUE
-4.982206406,12.43243243,-0.578821927,7.532106907,-17.29452055,22.25457571,11.51615576,18.48774408,1.374442793,8.73015873,9.747160132,23.29912581,1.368948247,18.13250678,2.141680395,13.62369338,17.90322581,27.4025974,-5.170998632,12.86011286,-5.968858131,14.81598985,5.427782889,16.01675798,TRUE
-0.578821927,7.532106907,-17.29452055,22.25457571,11.51615576,18.48774408,1.374442793,8.73015873,9.747160132,23.29912581,1.368948247,18.13250678,2.141680395,13.62369338,17.90322581,27.4025974,-5.170998632,12.86011286,-5.968858131,14.81598985,5.427782889,16.01675798,7.068062827,12.03184901,FALSE
-17.29452055,22.25457571,11.51615576,18.48774408,1.374442793,8.73015873,9.747160132,23.29912581,1.368948247,18.13250678,2.141680395,13.62369338,17.90322581,27.4025974,-5.170998632,12.86011286,-5.968858131,14.81598985,5.427782889,16.01675798,7.068062827,12.03184901,-3.535490889,9.878734102,FALSE
11.51615576,18.48774408,1.374442793,8.73015873,9.747160132,23.29912581,1.368948247,18.13250678,2.141680395,13.62369338,17.90322581,27.4025974,-5.170998632,12.86011286,-5.968858131,14.81598985,5.427782889,16.01675798,7.068062827,12.03184901,-3.535490889,9.878734102,-1.1559064,9.375,FALSE
1.374442793,8.73015873,9.747160132,23.29912581,1.368948247,18.13250678,2.141680395,13.62369338,17.90322581,27.4025974,-5.170998632,12.86011286,-5.968858131,14.81598985,5.427782889,16.01675798,7.068062827,12.03184901,-3.535490889,9.878734102,-1.1559064,9.375,-1.968054763,8.578284343,FALSE
9.747160132,23.29912581,1.368948247,18.13250678,2.141680395,13.62369338,17.90322581,27.4025974,-5.170998632,12.86011286,-5.968858131,14.81598985,5.427782889,16.01675798,7.068062827,12.03184901,-3.535490889,9.878734102,-1.1559064,9.375,-1.968054763,8.578284343,-5.440791388,11.20607787,FALSE
1.368948247,18.13250678,2.141680395,13.62369338,17.90322581,27.4025974,-5.170998632,12.86011286,-5.968858131,14.81598985,5.427782889,16.01675798,7.068062827,12.03184901,-3.535490889,9.878734102,-1.1559064,9.375,-1.968054763,8.578284343,-5.440791388,11.20607787,-4.093567251,14.06984553,TRUE
2.141680395,13.62369338,17.90322581,27.4025974,-5.170998632,12.86011286,-5.968858131,14.81598985,5.427782889,16.01675798,7.068062827,12.03184901,-3.535490889,9.878734102,-1.1559064,9.375,-1.968054763,8.578284343,-5.440791388,11.20607787,-4.093567251,14.06984553,4.361770366,19.74820144,FALSE
17.90322581,27.4025974,-5.170998632,12.86011286,-5.968858131,14.81598985,5.427782889,16.01675798,7.068062827,12.03184901,-3.535490889,9.878734102,-1.1559064,9.375,-1.968054763,8.578284343,-5.440791388,11.20607787,-4.093567251,14.06984553,4.361770366,19.74820144,-1.998769988,6.920634921,TRUE
-5.170998632,12.86011286,-5.968858131,14.81598985,5.427782889,16.01675798,7.068062827,12.03184901,-3.535490889,9.878734102,-1.1559064,9.375,-1.968054763,8.578284343,-5.440791388,11.20607787,-4.093567251,14.06984553,4.361770366,19.74820144,-1.998769988,6.920634921,5.777080063,12.96414853,FALSE
-5.968858131,14.81598985,5.427782889,16.01675798,7.068062827,12.03184901,-3.535490889,9.878734102,-1.1559064,9.375,-1.968054763,8.578284343,-5.440791388,11.20607787,-4.093567251,14.06984553,4.361770366,19.74820144,-1.998769988,6.920634921,5.777080063,12.96414853,-1.513802315,6.687022901,FALSE
5.427782889,16.01675798,7.068062827,12.03184901,-3.535490889,9.878734102,-1.1559064,9.375,-1.968054763,8.578284343,-5.440791388,11.20607787,-4.093567251,14.06984553,4.361770366,19.74820144,-1.998769988,6.920634921,5.777080063,12.96414853,-1.513802315,6.687022901,-3.104279687,9.174012406,FALSE
7.068062827,12.03184901,-3.535490889,9.878734102,-1.1559064,9.375,-1.968054763,8.578284343,-5.440791388,11.20607787,-4.093567251,14.06984553,4.361770366,19.74820144,-1.998769988,6.920634921,5.777080063,12.96414853,-1.513802315,6.687022901,-3.104279687,9.174012406,-4.541213064,8.75331565,FALSE
-3.535490889,9.878734102,-1.1559064,9.375,-1.968054763,8.578284343,-5.440791388,11.20607787,-4.093567251,14.06984553,4.361770366,19.74820144,-1.998769988,6.920634921,5.777080063,12.96414853,-1.513802315,6.687022901,-3.104279687,9.174012406,-4.541213064,8.75331565,-0.521342457,9.405594406,FALSE
-1.1559064,9.375,-1.968054763,8.578284343,-5.440791388,11.20607787,-4.093567251,14.06984553,4.361770366,19.74820144,-1.998769988,6.920634921,5.777080063,12.96414853,-1.513802315,6.687022901,-3.104279687,9.174012406,-4.541213064,8.75331565,-0.521342457,9.405594406,-0.655093351,6.797082228,TRUE
-1.968054763,8.578284343,-5.440791388,11.20607787,-4.093567251,14.06984553,4.361770366,19.74820144,-1.998769988,6.920634921,5.777080063,12.96414853,-1.513802315,6.687022901,-3.104279687,9.174012406,-4.541213064,8.75331565,-0.521342457,9.405594406,-0.655093351,6.797082228,8.047493404,9.755291005,FALSE
-5.440791388,11.20607787,-4.093567251,14.06984553,4.361770366,19.74820144,-1.998769988,6.920634921,5.777080063,12.96414853,-1.513802315,6.687022901,-3.104279687,9.174012406,-4.541213064,8.75331565,-0.521342457,9.405594406,-0.655093351,6.797082228,8.047493404,9.755291005,-1.648351648,5.444126074,TRUE
-4.093567251,14.06984553,4.361770366,19.74820144,-1.998769988,6.920634921,5.777080063,12.96414853,-1.513802315,6.687022901,-3.104279687,9.174012406,-4.541213064,8.75331565,-0.521342457,9.405594406,-0.655093351,6.797082228,8.047493404,9.755291005,-1.648351648,5.444126074,4.998447687,8.770826784,FALSE
4.361770366,19.74820144,-1.998769988,6.920634921,5.777080063,12.96414853,-1.513802315,6.687022901,-3.104279687,9.174012406,-4.541213064,8.75331565,-0.521342457,9.405594406,-0.655093351,6.797082228,8.047493404,9.755291005,-1.648351648,5.444126074,4.998447687,8.770826784,-2.572442342,5.054811206,TRUE
-1.998769988,6.920634921,5.777080063,12.96414853,-1.513802315,6.687022901,-3.104279687,9.174012406,-4.541213064,8.75331565,-0.521342457,9.405594406,-0.655093351,6.797082228,8.047493404,9.755291005,-1.648351648,5.444126074,4.998447687,8.770826784,-2.572442342,5.054811206,2.426448286,5.614567527,FALSE
5.777080063,12.96414853,-1.513802315,6.687022901,-3.104279687,9.174012406,-4.541213064,8.75331565,-0.521342457,9.405594406,-0.655093351,6.797082228,8.047493404,9.755291005,-1.648351648,5.444126074,4.998447687,8.770826784,-2.572442342,5.054811206,2.426448286,5.614567527,-2.457075192,6.53942428,FALSE
-1.513802315,6.687022901,-3.104279687,9.174012406,-4.541213064,8.75331565,-0.521342457,9.405594406,-0.655093351,6.797082228,8.047493404,9.755291005,-1.648351648,5.444126074,4.998447687,8.770826784,-2.572442342,5.054811206,2.426448286,5.614567527,-2.457075192,6.53942428,-3.034901366,6.945796819,FALSE
-3.104279687,9.174012406,-4.541213064,8.75331565,-0.521342457,9.405594406,-0.655093351,6.797082228,8.047493404,9.755291005,-1.648351648,5.444126074,4.998447687,8.770826784,-2.572442342,5.054811206,2.426448286,5.614567527,-2.457075192,6.53942428,-3.034901366,6.945796819,-4.758922981,7.338842975,FALSE
-4.541213064,8.75331565,-0.521342457,9.405594406,-0.655093351,6.797082228,8.047493404,9.755291005,-1.648351648,5.444126074,4.998447687,8.770826784,-2.572442342,5.054811206,2.426448286,5.614567527,-2.457075192,6.53942428,-3.034901366,6.945796819,-4.758922981,7.338842975,-0.822368421,7.59189282,TRUE
-0.521342457,9.405594406,-0.655093351,6.797082228,8.047493404,9.755291005,-1.648351648,5.444126074,4.998447687,8.770826784,-2.572442342,5.054811206,2.426448286,5.614567527,-2.457075192,6.53942428,-3.034901366,6.945796819,-4.758922981,7.338842975,-0.822368421,7.59189282,2.652519894,4.82689747,FALSE
-0.655093351,6.797082228,8.047493404,9.755291005,-1.648351648,5.444126074,4.998447687,8.770826784,-2.572442342,5.054811206,2.426448286,5.614567527,-2.457075192,6.53942428,-3.034901366,6.945796819,-4.758922981,7.338842975,-0.822368421,7.59189282,2.652519894,4.82689747,-4.683462532,7.647462277,FALSE
8.047493404,9.755291005,-1.648351648,5.444126074,4.998447687,8.770826784,-2.572442342,5.054811206,2.426448286,5.614567527,-2.457075192,6.53942428,-3.034901366,6.945796819,-4.758922981,7.338842975,-0.822368421,7.59189282,2.652519894,4.82689747,-4.683462532,7.647462277,-5.794645883,11.25925926,FALSE
-1.648351648,5.444126074,4.998447687,8.770826784,-2.572442342,5.054811206,2.426448286,5.614567527,-2.457075192,6.53942428,-3.034901366,6.945796819,-4.758922981,7.338842975,-0.822368421,7.59189282,2.652519894,4.82689747,-4.683462532,7.647462277,-5.794645883,11.25925926,-8.024469234,14.69061876,TRUE
4.998447687,8.770826784,-2.572442342,5.054811206,2.426448286,5.614567527,-2.457075192,6.53942428,-3.034901366,6.945796819,-4.758922981,7.338842975,-0.822368421,7.59189282,2.652519894,4.82689747,-4.683462532,7.647462277,-5.794645883,11.25925926,-8.024469234,14.69061876,8.998435055,11.65086888,FALSE
-2.572442342,5.054811206,2.426448286,5.614567527,-2.457075192,6.53942428,-3.034901366,6.945796819,-4.758922981,7.338842975,-0.822368421,7.59189282,2.652519894,4.82689747,-4.683462532,7.647462277,-5.794645883,11.25925926,-8.024469234,14.69061876,8.998435055,11.65086888,-2.225412778,5.641802348,TRUE
2.426448286,5.614567527,-2.457075192,6.53942428,-3.034901366,6.945796819,-4.758922981,7.338842975,-0.822368421,7.59189282,2.652519894,4.82689747,-4.683462532,7.647462277,-5.794645883,11.25925926,-8.024469234,14.69061876,8.998435055,11.65086888,-2.225412778,5.641802348,5.43318649,10.09915534,TRUE
-2.457075192,6.53942428,-3.034901366,6.945796819,-4.758922981,7.338842975,-0.822368421,7.59189282,2.652519894,4.82689747,-4.683462532,7.647462277,-5.794645883,11.25925926,-8.024469234,14.69061876,8.998435055,11.65086888,-2.225412778,5.641802348,5.43318649,10.09915534,6.511142061,9.164610504,FALSE
-3.034901366,6.945796819,-4.758922981,7.338842975,-0.822368421,7.59189282,2.652519894,4.82689747,-4.683462532,7.647462277,-5.794645883,11.25925926,-8.024469234,14.69061876,8.998435055,11.65086888,-2.225412778,5.641802348,5.43318649,10.09915534,6.511142061,9.164610504,-5.001634521,9.451007644,FALSE
-4.758922981,7.338842975,-0.822368421,7.59189282,2.652519894,4.82689747,-4.683462532,7.647462277,-5.794645883,11.25925926,-8.024469234,14.69061876,8.998435055,11.65086888,-2.225412778,5.641802348,5.43318649,10.09915534,6.511142061,9.164610504,-5.001634521,9.451007644,-2.649690296,5.585200996,TRUE
-0.822368421,7.59189282,2.652519894,4.82689747,-4.683462532,7.647462277,-5.794645883,11.25925926,-8.024469234,14.69061876,8.998435055,11.65086888,-2.225412778,5.641802348,5.43318649,10.09915534,6.511142061,9.164610504,-5.001634521,9.451007644,-2.649690296,5.585200996,0.388829975,4.159260576,FALSE
2.652519894,4.82689747,-4.683462532,7.647462277,-5.794645883,11.25925926,-8.024469234,14.69061876,8.998435055,11.65086888,-2.225412778,5.641802348,5.43318649,10.09915534,6.511142061,9.164610504,-5.001634521,9.451007644,-2.649690296,5.585200996,0.388829975,4.159260576,-1.830985915,4.543802254,TRUE
-4.683462532,7.647462277,-5.794645883,11.25925926,-8.024469234,14.69061876,8.998435055,11.65086888,-2.225412778,5.641802348,5.43318649,10.09915534,6.511142061,9.164610504,-5.001634521,9.451007644,-2.649690296,5.585200996,0.388829975,4.159260576,-1.830985915,4.543802254,0.286944046,6.362951807,FALSE
-5.794645883,11.25925926,-8.024469234,14.69061876,8.998435055,11.65086888,-2.225412778,5.641802348,5.43318649,10.09915534,6.511142061,9.164610504,-5.001634521,9.451007644,-2.649690296,5.585200996,0.388829975,4.159260576,-1.830985915,4.543802254,0.286944046,6.362951807,-3.253485878,4.592592593,FALSE
-8.024469234,14.69061876,8.998435055,11.65086888,-2.225412778,5.641802348,5.43318649,10.09915534,6.511142061,9.164610504,-5.001634521,9.451007644,-2.649690296,5.585200996,0.388829975,4.159260576,-1.830985915,4.543802254,0.286944046,6.362951807,-3.253485878,4.592592593,-0.480413895,4.90233627,FALSE
8.998435055,11.65086888,-2.225412778,5.641802348,5.43318649,10.09915534,6.511142061,9.164610504,-5.001634521,9.451007644,-2.649690296,5.585200996,0.388829975,4.159260576,-1.830985915,4.543802254,0.286944046,6.362951807,-3.253485878,4.592592593,-0.480413895,4.90233627,-5.683506686,11.50662252,FALSE
-2.225412778,5.641802348,5.43318649,10.09915534,6.511142061,9.164610504,-5.001634521,9.451007644,-2.649690296,5.585200996,0.388829975,4.159260576,-1.830985915,4.543802254,0.286944046,6.362951807,-3.253485878,4.592592593,-0.480413895,4.90233627,-5.683506686,11.50662252,-11.93383222,19.98158379,TRUE
5.43318649,10.09915534,6.511142061,9.164610504,-5.001634521,9.451007644,-2.649690296,5.585200996,0.388829975,4.159260576,-1.830985915,4.543802254,0.286944046,6.362951807,-3.253485878,4.592592593,-0.480413895,4.90233627,-5.683506686,11.50662252,-11.93383222,19.98158379,5.858676208,33.06144644,FALSE
6.511142061,9.164610504,-5.001634521,9.451007644,-2.649690296,5.585200996,0.388829975,4.159260576,-1.830985915,4.543802254,0.286944046,6.362951807,-3.253485878,4.592592593,-0.480413895,4.90233627,-5.683506686,11.50662252,-11.93383222,19.98158379,5.858676208,33.06144644,-3.88677651,12.56304448,FALSE
-5.001634521,9.451007644,-2.649690296,5.585200996,0.388829975,4.159260576,-1.830985915,4.543802254,0.286944046,6.362951807,-3.253485878,4.592592593,-0.480413895,4.90233627,-5.683506686,11.50662252,-11.93383222,19.98158379,5.858676208,33.06144644,-3.88677651,12.56304448,-3.736263736,12.82545805,FALSE
-2.649690296,5.585200996,0.388829975,4.159260576,-1.830985915,4.543802254,0.286944046,6.362951807,-3.253485878,4.592592593,-0.480413895,4.90233627,-5.683506686,11.50662252,-11.93383222,19.98158379,5.858676208,33.06144644,-3.88677651,12.56304448,-3.736263736,12.82545805,-11.42074006,14.77987421,TRUE
0.388829975,4.159260576,-1.830985915,4.543802254,0.286944046,6.362951807,-3.253485878,4.592592593,-0.480413895,4.90233627,-5.683506686,11.50662252,-11.93383222,19.98158379,5.858676208,33.06144644,-3.88677651,12.56304448,-3.736263736,12.82545805,-11.42074006,14.77987421,8.354822073,23.1281198,FALSE
-1.830985915,4.543802254,0.286944046,6.362951807,-3.253485878,4.592592593,-0.480413895,4.90233627,-5.683506686,11.50662252,-11.93383222,19.98158379,5.858676208,33.06144644,-3.88677651,12.56304448,-3.736263736,12.82545805,-11.42074006,14.77987421,8.354822073,23.1281198,-13.28571429,22.71689498,TRUE
0.286944046,6.362951807,-3.253485878,4.592592593,-0.480413895,4.90233627,-5.683506686,11.50662252,-11.93383222,19.98158379,5.858676208,33.06144644,-3.88677651,12.56304448,-3.736263736,12.82545805,-11.42074006,14.77987421,8.354822073,23.1281198,-13.28571429,22.71689498,2.586681343,28.49673203,TRUE
-3.253485878,4.592592593,-0.480413895,4.90233627,-5.683506686,11.50662252,-11.93383222,19.98158379,5.858676208,33.06144644,-3.88677651,12.56304448,-3.736263736,12.82545805,-11.42074006,14.77987421,8.354822073,23.1281198,-13.28571429,22.71689498,2.586681343,28.49673203,16.73819742,22.00220022,TRUE
